iter	Passed	Remaining
0	3	2574
1	6	2617
2	9	2570
3	12	2541
4	15	2475
5	18	2425
6	21	2438
7	24	2436
8	27	2427
9	30	2444
10	33	2428
11	36	2426
12	40	2433
13	43	2445
14	46	2458
15	50	2488
16	54	2489
17	57	2493
18	60	2502
19	63	2494
20	67	2509
21	71	2523
22	74	2518
23	78	2527
24	81	2523
25	84	2509
26	87	2503
27	90	2500
28	93	2483
29	97	2499
30	100	2500
31	104	2496
32	107	2495
33	110	2498
34	114	2491
35	117	2483
36	120	2479
37	123	2472
38	126	2467
39	129	2460
40	132	2457
41	135	2447
42	139	2447
43	142	2442
44	145	2441
45	148	2441
46	152	2436
47	155	2435
48	158	2426
49	161	2424
50	164	2421
51	168	2419
52	171	2415
53	174	2412
54	177	2410
55	181	2409
56	184	2410
57	188	2415
58	192	2416
59	195	2412
60	198	2407
61	202	2404
62	206	2415
63	210	2416
64	213	2415
65	216	2412
66	221	2418
67	224	2412
68	227	2407
69	230	2404
70	233	2401
71	238	2408
72	241	2402
73	244	2399
74	248	2397
75	251	2391
76	254	2386
77	257	2380
78	260	2378
79	263	2373
80	266	2368
81	270	2365
82	273	2360
83	276	2356
84	279	2353
85	282	2348
86	286	2346
87	289	2341
88	293	2341
89	296	2338
90	299	2333
91	302	2329
92	305	2326
93	309	2321
94	312	2317
95	315	2311
96	319	2313
97	322	2307
98	325	2305
99	328	2299
100	331	2296
101	335	2294
102	338	2292
103	341	2288
104	345	2285
105	348	2281
106	351	2279
107	355	2275
108	358	2274
109	362	2274
110	365	2270
111	368	2266
112	371	2261
113	374	2256
114	378	2253
115	381	2249
116	385	2247
117	388	2243
118	391	2239
119	394	2237
120	398	2233
121	401	2231
122	404	2227
123	408	2225
124	411	2222
125	414	2218
126	417	2214
127	421	2211
128	424	2207
129	427	2205
130	431	2201
131	434	2199
132	437	2195
133	441	2192
134	444	2187
135	447	2183
136	450	2181
137	454	2179
138	457	2177
139	461	2174
140	464	2171
141	467	2167
142	471	2166
143	474	2163
144	478	2160
145	482	2161
146	486	2159
147	489	2157
148	493	2156
149	496	2153
150	500	2150
151	503	2148
152	507	2145
153	510	2142
154	514	2140
155	518	2139
156	521	2136
157	525	2133
158	529	2132
159	532	2131
160	536	2130
161	540	2127
162	543	2124
163	547	2124
164	552	2126
165	556	2123
166	560	2122
167	563	2120
168	566	2116
169	571	2116
170	574	2113
171	577	2109
172	581	2108
173	585	2105
174	588	2101
175	592	2099
176	596	2097
177	600	2096
178	603	2094
179	606	2090
180	610	2088
181	614	2086
182	618	2084
183	621	2082
184	625	2078
185	628	2074
186	632	2072
187	635	2068
188	638	2065
189	642	2061
190	645	2058
191	649	2056
192	652	2052
193	656	2049
194	659	2046
195	663	2043
196	666	2039
197	669	2036
198	672	2031
199	676	2028
200	679	2025
201	682	2021
202	686	2017
203	689	2013
204	692	2008
205	695	2006
206	698	2001
207	701	1996
208	705	1993
209	708	1989
210	711	1985
211	714	1981
212	717	1978
213	721	1975
214	724	1972
215	728	1969
216	731	1965
217	734	1961
218	738	1958
219	741	1954
220	745	1952
221	748	1948
222	751	1944
223	754	1940
224	757	1936
225	761	1933
226	764	1928
227	767	1924
228	770	1922
229	774	1918
230	777	1914
231	780	1911
232	784	1908
233	787	1905
234	790	1901
235	794	1897
236	797	1893
237	800	1890
238	804	1887
239	807	1884
240	811	1881
241	814	1879
242	818	1876
243	821	1872
244	825	1869
245	828	1866
246	832	1864
247	836	1861
