feature	label	count	mean	std	min	25%	50%	75%	max
sa_count	0	19983.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sa_count	1	20000.0	0.40585	0.4910680552548135	0.0	0.0	0.0	1.0	1.0
softclip_left	0	19983.0	0.2253915828454186	1.542914236583005	0.0	0.0	0.0	0.0	50.0
softclip_left	1	20000.0	12.5462	21.897669760891176	0.0	0.0	0.0	19.0	112.0
softclip_right	0	19983.0	0.2120802682279938	1.513480013326292	0.0	0.0	0.0	0.0	34.0
softclip_right	1	20000.0	12.89555	22.123329593058866	0.0	0.0	0.0	19.0	114.0
kmer_js_divergence	0	19983.0	0.9758035534704499	0.024647651135716524	0.789216	0.9602875	0.985714	1.0	1.0
kmer_js_divergence	1	20000.0	0.974322394	0.025106811292560195	0.814286	0.957143	0.985714	1.0	1.0
kmer_cosine_diff	0	19983.0	0.9758132274933694	0.025168212971602818	0.762416	0.959459	0.985714	1.0	1.0
kmer_cosine_diff	1	20000.0	0.9743015426	0.025728799700300557	0.816883	0.958333	0.985714	1.0	1.0
microhomology_length	0	19983.0	0.4617424811089426	0.7579195895569661	0.0	0.0	0.0	1.0	7.0
microhomology_length	1	20000.0	0.4584	0.7551807431984379	0.0	0.0	0.0	1.0	7.0
