dataset	threshold_group	k	cov_max_cnn	cov_max_gb	cov_mean_cnn	cov_mean_gb	cov_median_cnn	cov_median_gb	edges_cnn	edges_gb	longest_cnn	longest_gb	n50_cnn	n50_gb	n90_cnn	n90_gb	n_contigs_cnn	n_contigs_gb	nodes_cnn	nodes_gb	total_len_cnn	total_len_gb	cov_max_unfiltered	cov_mean_unfiltered	cov_median_unfiltered	edges_unfiltered	longest_unfiltered	n50_unfiltered	n90_unfiltered	n_contigs_unfiltered	nodes_unfiltered	total_len_unfiltered	k_unfiltered	delta_nodes_cnn	delta_edges_cnn	delta_n_contigs_cnn	delta_n50_cnn	delta_total_len_cnn	delta_cov_mean_cnn	delta_nodes_gb	delta_edges_gb	delta_n_contigs_gb	delta_n50_gb	delta_total_len_gb	delta_cov_mean_gb
10K_lemuru10	0.3	115	31.852482	37.754741	31.852482	37.754741	31.852482	37.754741	0.0	0.0	16635.0	16620.0	16635.0	16620.0	16635.0	16620.0	1.0	1.0	1.0	1.0	16635.0	16620.0	39.338629	39.338629	39.338629	0.0	16670.0	16670.0	16670.0	1.0	1.0	16670.0		0.0	0.0	0.0	-35.0	-35.0	-7.486146999999999	0.0	0.0	0.0	-50.0	-50.0	-1.5838879999999946
10K_lemuru10	0.3	127	20.890417	24.744376	20.890417	24.744376	20.890417	24.744376	0.0	0.0	16635.0	16620.0	16635.0	16620.0	16635.0	16620.0	1.0	1.0	1.0	1.0	16635.0	16620.0	25.675452	25.675452	25.675452	0.0	16670.0	16670.0	16670.0	1.0	1.0	16670.0		0.0	0.0	0.0	-35.0	-35.0	-4.785035000000001	0.0	0.0	0.0	-50.0	-50.0	-0.9310760000000009
10K_lemuru10	0.5	115	33.017797	39.114585	33.017797	39.114585	33.017797	39.114585	0.0	2.0	16635.0	16618.0	16635.0	16618.0	16635.0	16618.0	1.0	1.0	1.0	2.0	16635.0	16618.0	39.338629	39.338629	39.338629	0.0	16670.0	16670.0	16670.0	1.0	1.0	16670.0		0.0	0.0	0.0	-35.0	-35.0	-6.320831999999996	1.0	2.0	0.0	-52.0	-52.0	-0.22404399999999924
10K_lemuru10	0.5	127	21.654773	25.628199	21.654773	25.628199	21.654773	25.628199	0.0	0.0	16635.0	16617.0	16635.0	16617.0	16635.0	16617.0	1.0	1.0	1.0	1.0	16635.0	16617.0	25.675452	25.675452	25.675452	0.0	16670.0	16670.0	16670.0	1.0	1.0	16670.0		0.0	0.0	0.0	-35.0	-35.0	-4.020679000000001	0.0	0.0	0.0	-53.0	-53.0	-0.04725300000000132
10K_lemuru10	0.7	115	33.898729	39.204508	33.898729	39.204508	33.898729	39.204508	0.0	2.0	16635.0	16618.0	16635.0	16618.0	16635.0	16618.0	1.0	1.0	1.0	2.0	16635.0	16618.0	39.338629	39.338629	39.338629	0.0	16670.0	16670.0	16670.0	1.0	1.0	16670.0		0.0	0.0	0.0	-35.0	-35.0	-5.439899999999994	1.0	2.0	0.0	-52.0	-52.0	-0.13412100000000038
10K_lemuru10	0.7	127	22.222256	25.677441	22.222256	25.677441	22.222256	25.677441	0.0	0.0	16635.0	16617.0	16635.0	16617.0	16635.0	16617.0	1.0	1.0	1.0	1.0	16635.0	16617.0	25.675452	25.675452	25.675452	0.0	16670.0	16670.0	16670.0	1.0	1.0	16670.0		0.0	0.0	0.0	-35.0	-35.0	-3.4531959999999984	0.0	0.0	0.0	-53.0	-53.0	0.001989000000001795
10K_lemuru15	0.3	115	30.363691	36.26544	30.363691	36.26544	30.363691	36.26544	0.0	0.0	16695.0	16695.0	16695.0	16695.0	16695.0	16695.0	1.0	1.0	1.0	1.0	16695.0	16695.0	38.110434	38.110434	38.110434	0.0	16695.0	16695.0	16695.0	1.0	1.0	16695.0		0.0	0.0	0.0	0.0	0.0	-7.746742999999999	0.0	0.0	0.0	0.0	0.0	-1.8449939999999998
10K_lemuru15	0.3	127	19.905118	23.72966	19.905118	23.72966	19.905118	23.72966	0.0	0.0	16695.0	16695.0	16695.0	16695.0	16695.0	16695.0	1.0	1.0	1.0	1.0	16695.0	16695.0	24.782352	24.782352	24.782352	0.0	16695.0	16695.0	16695.0	1.0	1.0	16695.0		0.0	0.0	0.0	0.0	0.0	-4.877233999999998	0.0	0.0	0.0	0.0	0.0	-1.0526920000000004
10K_lemuru15	0.5	115	31.287214	37.803981	31.287214	37.803981	31.287214	37.803981	0.0	0.0	16695.0	16695.0	16695.0	16695.0	16695.0	16695.0	1.0	1.0	1.0	1.0	16695.0	16695.0	38.110434	38.110434	38.110434	0.0	16695.0	16695.0	16695.0	1.0	1.0	16695.0		0.0	0.0	0.0	0.0	0.0	-6.823219999999999	0.0	0.0	0.0	0.0	0.0	-0.30645299999999764
10K_lemuru15	0.5	127	20.50332	24.718252	20.50332	24.718252	20.50332	24.718252	0.0	0.0	16695.0	16695.0	16695.0	16695.0	16695.0	16695.0	1.0	1.0	1.0	1.0	16695.0	16695.0	24.782352	24.782352	24.782352	0.0	16695.0	16695.0	16695.0	1.0	1.0	16695.0		0.0	0.0	0.0	0.0	0.0	-4.279032000000001	0.0	0.0	0.0	0.0	0.0	-0.06409999999999982
