dataset	threshold_group	k	cov_max_cnn	cov_max_gb	cov_max_unfiltered	cov_mean_cnn	cov_mean_gb	cov_mean_unfiltered	cov_median_cnn	cov_median_gb	cov_median_unfiltered	edges_cnn	edges_gb	edges_unfiltered	longest_cnn	longest_gb	longest_unfiltered	n50_cnn	n50_gb	n50_unfiltered	n90_cnn	n90_gb	n90_unfiltered	n_contigs_cnn	n_contigs_gb	n_contigs_unfiltered	nodes_cnn	nodes_gb	nodes_unfiltered	total_len_cnn	total_len_gb	total_len_unfiltered
10K_lemuru10	0.3	115	31.852482	37.754741		31.852482	37.754741		31.852482	37.754741		0.0	0.0		16635.0	16620.0		16635.0	16620.0		16635.0	16620.0		1.0	1.0		1.0	1.0		16635.0	16620.0	
10K_lemuru10	0.3	127	20.890417	24.744376		20.890417	24.744376		20.890417	24.744376		0.0	0.0		16635.0	16620.0		16635.0	16620.0		16635.0	16620.0		1.0	1.0		1.0	1.0		16635.0	16620.0	
10K_lemuru10	0.5	115	33.017797	39.114585		33.017797	39.114585		33.017797	39.114585		0.0	2.0		16635.0	16618.0		16635.0	16618.0		16635.0	16618.0		1.0	1.0		1.0	2.0		16635.0	16618.0	
10K_lemuru10	0.5	127	21.654773	25.628199		21.654773	25.628199		21.654773	25.628199		0.0	0.0		16635.0	16617.0		16635.0	16617.0		16635.0	16617.0		1.0	1.0		1.0	1.0		16635.0	16617.0	
10K_lemuru10	0.7	115	33.898729	39.204508		33.898729	39.204508		33.898729	39.204508		0.0	2.0		16635.0	16618.0		16635.0	16618.0		16635.0	16618.0		1.0	1.0		1.0	2.0		16635.0	16618.0	
10K_lemuru10	0.7	127	22.222256	25.677441		22.222256	25.677441		22.222256	25.677441		0.0	0.0		16635.0	16617.0		16635.0	16617.0		16635.0	16617.0		1.0	1.0		1.0	1.0		16635.0	16617.0	
10K_lemuru10	unfiltered	-1			39.430448			39.430448			39.430448			0.0			16635.0			16635.0			16635.0			1.0			1.0			16635.0
10K_lemuru10	unfiltered	115			39.338629			39.338629			39.338629			0.0			16670.0			16670.0			16670.0			1.0			1.0			16670.0
10K_lemuru10	unfiltered	127			25.675452			25.675452			25.675452			0.0			16670.0			16670.0			16670.0			1.0			1.0			16670.0
10K_lemuru15	0.3	115	30.363691	36.26544		30.363691	36.26544		30.363691	36.26544		0.0	0.0		16695.0	16695.0		16695.0	16695.0		16695.0	16695.0		1.0	1.0		1.0	1.0		16695.0	16695.0	
10K_lemuru15	0.3	127	19.905118	23.72966		19.905118	23.72966		19.905118	23.72966		0.0	0.0		16695.0	16695.0		16695.0	16695.0		16695.0	16695.0		1.0	1.0		1.0	1.0		16695.0	16695.0	
10K_lemuru15	0.5	115	31.287214	37.803981		31.287214	37.803981		31.287214	37.803981		0.0	0.0		16695.0	16695.0		16695.0	16695.0		16695.0	16695.0		1.0	1.0		1.0	1.0		16695.0	16695.0	
10K_lemuru15	0.5	127	20.50332	24.718252		20.50332	24.718252		20.50332	24.718252		0.0	0.0		16695.0	16695.0		16695.0	16695.0		16695.0	16695.0		1.0	1.0		1.0	1.0		16695.0	16695.0	
10K_lemuru15	0.7	115	32.189023	37.89807		32.189023	37.89807		32.189023	37.89807		0.0	0.0		16695.0	16695.0		16695.0	16695.0		16695.0	16695.0		1.0	1.0		1.0	1.0		16695.0	16695.0	
10K_lemuru15	0.7	127	21.081965	24.770582		21.081965	24.770582		21.081965	24.770582		0.0	0.0		16695.0	16695.0		16695.0	16695.0		16695.0	16695.0		1.0	1.0		1.0	1.0		16695.0	16695.0	
10K_lemuru15	unfiltered	-1			38.307916			38.307916			38.307916			0.0			16613.0			16613.0			16613.0			1.0			1.0			16613.0
10K_lemuru15	unfiltered	115			38.110434			38.110434			38.110434			0.0			16695.0			16695.0			16695.0			1.0			1.0			16695.0
10K_lemuru15	unfiltered	127			24.782352			24.782352			24.782352			0.0			16695.0			16695.0			16695.0			1.0			1.0			16695.0
10K_lemuru5	0.3	115	33.566121	39.149879		33.566121	39.149879		33.566121	39.149879		0.0	0.0		16615.0	16615.0		16615.0	16615.0		16615.0	16615.0		1.0	1.0		1.0	1.0		16615.0	16615.0	
10K_lemuru5	0.3	127	22.024321	25.677098		22.024321	25.677098		22.024321	25.677098		0.0	0.0		16615.0	16615.0		16615.0	16615.0		16615.0	16615.0		1.0	1.0		1.0	1.0		16615.0	16615.0	
10K_lemuru5	0.5	115	34.475173	40.604848		34.475173	40.604848		34.475173	40.604848		2.0	0.0		16690.0	16615.0		16690.0	16615.0		16690.0	16615.0		1.0	1.0		2.0	1.0		16690.0	16615.0	
10K_lemuru5	0.5	127	22.604103	26.626941		22.604103	26.626941		22.604103	26.626941		2.0	0.0		16702.0	16615.0		16702.0	16615.0		16702.0	16615.0		1.0	1.0		2.0	1.0		16702.0	16615.0	
10K_lemuru5	0.7	115	35.543891	40.677091		35.543891	40.677091		35.543891	40.677091		2.0	0.0		16690.0	16615.0		16690.0	16615.0		16690.0	16615.0		1.0	1.0		2.0	1.0		16690.0	16615.0	
10K_lemuru5	0.7	127	23.303107	26.670973		23.303107	26.670973		23.303107	26.670973		2.0	0.0		16702.0	16615.0		16702.0	16615.0		16702.0	16615.0		1.0	1.0		2.0	1.0		16702.0	16615.0	
10K_lemuru5	unfiltered	-1			40.823879			40.823879			40.823879			0.0			16615.0			16615.0			16615.0			1.0			1.0			16615.0
10K_lemuru5	unfiltered	115			40.477913			40.477913			40.477913			2.0			16754.0			16754.0			16754.0			1.0			2.0			16754.0
10K_lemuru5	unfiltered	127			26.473526			26.473526			26.473526			2.0			16766.0			16766.0			16766.0			1.0			2.0			16766.0
10K_lemuru50	0.3	115	18.651822	26.390644		18.651822	26.390644		18.651822	26.390644		0.0	0.0		16687.0	16703.0		16687.0	16703.0		16687.0	16703.0		1.0	1.0		1.0	1.0		16687.0	16703.0	
10K_lemuru50	0.3	127	12.1468	17.101834		12.1468	17.101834		12.1468	17.101834		0.0	0.0		16687.0	16703.0		16687.0	16703.0		16687.0	16703.0		1.0	1.0		1.0	1.0		16687.0	16703.0	
10K_lemuru50	0.5	115	19.292843	28.517476		19.292843	28.517476		19.292843	28.517476		0.0	0.0		16687.0	16738.0		16687.0	16738.0		16687.0	16738.0		1.0	1.0		1.0	1.0		16687.0	16738.0	
10K_lemuru50	0.5	127	12.545652	18.439889		12.545652	18.439889		12.545652	18.439889		0.0	0.0		16687.0	16738.0		16687.0	16738.0		16687.0	16738.0		1.0	1.0		1.0	1.0		16687.0	16738.0	
10K_lemuru50	0.7	115	20.089307	28.928894		20.089307	28.928894		20.089307	28.928894		0.0	0.0		16687.0	16738.0		16687.0	16738.0		16687.0	16738.0		1.0	1.0		1.0	1.0		16687.0	16738.0	
10K_lemuru50	0.7	127	13.039191	18.670459		13.039191	18.670459		13.039191	18.670459		0.0	0.0		16687.0	16738.0		16687.0	16738.0		16687.0	16738.0		1.0	1.0		1.0	1.0		16687.0	16738.0	
10K_lemuru50	unfiltered	-1			30.417238			30.417238			30.417238			2.0			16439.0			16439.0			16439.0			1.0			2.0			16439.0
10K_lemuru50	unfiltered	115			30.417238			30.417238			30.417238			2.0			16439.0			16439.0			16439.0			1.0			2.0			16439.0
10K_lemuru50	unfiltered	127			19.08869			19.08869			19.08869			0.0			16758.0			16758.0			16758.0			1.0			1.0			16758.0
3200_lemuru10	0.3	115	5.969391	11.189501		5.969391	11.189501		5.969391	11.189501		0.0	0.0		16646.0	16669.0		16646.0	16669.0		16646.0	16669.0		1.0	1.0		1.0	1.0		16646.0	16669.0	
3200_lemuru10	0.3	127	3.668382	7.251602		3.668382	7.251602		3.668382	7.251602		0.0	0.0		16646.0	16669.0		16646.0	16669.0		16646.0	16669.0		1.0	1.0		1.0	1.0		16646.0	16669.0	
3200_lemuru10	0.5	115	6.742672	12.074725		6.742672	12.074725		6.742672	12.074725		0.0	0.0		16662.0	16669.0		16662.0	16669.0		16662.0	16669.0		1.0	1.0		1.0	1.0		16662.0	16669.0	
3200_lemuru10	0.5	127	4.184215	7.857816		4.184215	7.857816		4.184215	7.857816		0.0	0.0		16662.0	16669.0		16662.0	16669.0		16662.0	16669.0		1.0	1.0		1.0	1.0		16662.0	16669.0	
3200_lemuru10	0.7	115	8.151024	12.23813		8.151024	12.23813		8.151024	12.23813		0.0	0.0		16662.0	16669.0		16662.0	16669.0		16662.0	16669.0		1.0	1.0		1.0	1.0		16662.0	16669.0	
3200_lemuru10	0.7	127	5.155428	7.977572		5.155428	7.977572		5.155428	7.977572		0.0	0.0		16662.0	16669.0		16662.0	16669.0		16662.0	16669.0		1.0	1.0		1.0	1.0		16662.0	16669.0	
3200_lemuru10	unfiltered	-1			12.672475			12.672475			12.672475			0.0			16587.0			16587.0			16587.0			1.0			1.0			16587.0
3200_lemuru10	unfiltered	115			12.606137			12.606137			12.606137			0.0			16669.0			16669.0			16669.0			1.0			1.0			16669.0
3200_lemuru10	unfiltered	127			8.219381			8.219381			8.219381			0.0			16669.0			16669.0			16669.0			1.0			1.0			16669.0
3200_lemuru15	0.3	115	5.772573	11.394437		5.772573	11.394437		5.772573	11.394437		0.0	0.0		16617.0	16617.0		16617.0	16617.0		16617.0	16617.0		1.0	1.0		1.0	1.0		16617.0	16617.0	
3200_lemuru15	0.3	127	3.596725	7.438933		3.596725	7.438933		3.596725	7.438933		0.0	0.0		16617.0	16617.0		16617.0	16617.0		16617.0	16617.0		1.0	1.0		1.0	1.0		16617.0	16617.0	
3200_lemuru15	0.5	115	6.667677	11.943764		6.667677	11.943764		6.667677	11.943764		0.0	0.0		16617.0	16617.0		16617.0	16617.0		16617.0	16617.0		1.0	1.0		1.0	1.0		16617.0	16617.0	
3200_lemuru15	0.5	127	4.191389	7.798969		4.191389	7.798969		4.191389	7.798969		0.0	0.0		16617.0	16617.0		16617.0	16617.0		16617.0	16617.0		1.0	1.0		1.0	1.0		16617.0	16617.0	
3200_lemuru15	0.7	115	7.465216	11.979215		7.465216	11.979215		7.465216	11.979215		0.0	0.0		16617.0	16617.0		16617.0	16617.0		16617.0	16617.0		1.0	1.0		1.0	1.0		16617.0	16617.0	
3200_lemuru15	0.7	127	4.726258	7.820133		4.726258	7.820133		4.726258	7.820133		0.0	0.0		16617.0	16617.0		16617.0	16617.0		16617.0	16617.0		1.0	1.0		1.0	1.0		16617.0	16617.0	
3200_lemuru15	unfiltered	-1			12.486685			12.486685			12.486685			0.0			16300.0			16300.0			16300.0			1.0			1.0			16300.0
3200_lemuru15	unfiltered	115			12.259241			12.259241			12.259241			0.0			16617.0			16617.0			16617.0			1.0			1.0			16617.0
3200_lemuru15	unfiltered	127			7.986416			7.986416			7.986416			0.0			16617.0			16617.0			16617.0			1.0			1.0			16617.0
3200_lemuru5	0.3	-1	3.428223	7.177749		3.428223	7.177749		3.428223	7.177749		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	0.3	115	5.6153	11.092603		5.6153	11.092603		5.6153	11.092603		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	0.3	127	3.428223	7.177749		3.428223	7.177749		3.428223	7.177749		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	0.5	115	6.607206	11.942351		6.607206	11.942351		6.607206	11.942351		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	0.5	127	4.101468	7.753871		4.101468	7.753871		4.101468	7.753871		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	0.7	115	7.625525	12.065052		7.625525	12.065052		7.625525	12.065052		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	0.7	127	4.783056	7.84223		4.783056	7.84223		4.783056	7.84223		0.0	0.0		16546.0	16594.0		16546.0	16594.0		16546.0	16594.0		1.0	1.0		1.0	1.0		16546.0	16594.0	
3200_lemuru5	unfiltered	-1			8.087996			8.087996			8.087996			0.0			16605.0			16605.0			16605.0			1.0			1.0			16605.0
3200_lemuru5	unfiltered	115			12.420982			12.420982			12.420982			0.0			16605.0			16605.0			16605.0			1.0			1.0			16605.0
3200_lemuru5	unfiltered	127			8.087996			8.087996			8.087996			0.0			16605.0			16605.0			16605.0			1.0			1.0			16605.0
3200_lemuru50	0.3	115	4.145146	8.577307		4.145146	8.577307		4.145146	8.577307		0.0	0.0		16719.0	16666.0		16719.0	16666.0		16719.0	16666.0		1.0	1.0		1.0	1.0		16719.0	16666.0	
3200_lemuru50	0.3	127	2.59366	5.559103		2.59366	5.559103		2.59366	5.559103		0.0	0.0		16719.0	16666.0		16719.0	16666.0		16719.0	16666.0		1.0	1.0		1.0	1.0		16719.0	16666.0	
3200_lemuru50	0.5	115	5.122798	9.389705		5.122798	9.389705		5.122798	9.389705		0.0	0.0		16744.0	16666.0		16744.0	16666.0		16744.0	16666.0		1.0	1.0		1.0	1.0		16744.0	16666.0	
3200_lemuru50	0.5	127	3.262081	6.076486		3.262081	6.076486		3.262081	6.076486		0.0	0.0		16744.0	16666.0		16744.0	16666.0		16744.0	16666.0		1.0	1.0		1.0	1.0		16744.0	16666.0	
3200_lemuru50	0.7	115	5.88378	9.475923		5.88378	9.475923		5.88378	9.475923		0.0	0.0		16644.0	16666.0		16644.0	16666.0		16644.0	16666.0		1.0	1.0		1.0	1.0		16644.0	16666.0	
3200_lemuru50	0.7	127	3.770116	6.123043		3.770116	6.123043		3.770116	6.123043		0.0	0.0		16644.0	16666.0		16644.0	16666.0		16644.0	16666.0		1.0	1.0		1.0	1.0		16644.0	16666.0	
3200_lemuru50	unfiltered	-1			9.907791			9.907791			9.907791			0.0			16556.0			16556.0			16556.0			1.0			1.0			16556.0
3200_lemuru50	unfiltered	115			9.855459			9.855459			9.855459			0.0			16657.0			16657.0			16657.0			1.0			1.0			16657.0
3200_lemuru50	unfiltered	127			6.258178			6.258178			6.258178			0.0			16635.0			16635.0			16635.0			1.0			1.0			16635.0
