dataset	threshold_group	k	nodes	edges	n_contigs	n50	n90	longest	total_len	cov_mean	cov_median	cov_max	method	nodes_base	edges_base	n50_base	total_len_base	nodes_base_ds	edges_base_ds	n50_base_ds	total_len_base_ds	nodes_base_final	edges_base_final	n50_base_final	total_len_base_final	len_ratio	n50_ratio	frag_penalty	len_penalty	n50_reward	score
10K_lemuru10	0.3	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	31.852482	31.852482	31.852482	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.3	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	31.852482	31.852482	31.852482	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.3	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	31.852482	31.852482	31.852482	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.3	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	20.890417	20.890417	20.890417	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.3	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	20.890417	20.890417	20.890417	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.3	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	20.890417	20.890417	20.890417	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.5	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	33.017797	33.017797	33.017797	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.5	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	33.017797	33.017797	33.017797	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.5	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	33.017797	33.017797	33.017797	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.5	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	21.654773	21.654773	21.654773	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.5	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	21.654773	21.654773	21.654773	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.5	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	21.654773	21.654773	21.654773	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	33.898729	33.898729	33.898729	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	33.898729	33.898729	33.898729	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	115	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	33.898729	33.898729	33.898729	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	22.222256	22.222256	22.222256	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	22.222256	22.222256	22.222256	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
10K_lemuru10	0.7	127	1.0	0.0	1.0	16635.0	16635.0	16635.0	16635.0	22.222256	22.222256	22.222256	cnn	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	1.0	0.0	16670.0	16670.0	0.9979004199159569	0.9979004199159569	0.0	0.0020995800840430956	0.9979004199159569	0.9968506298739354
