feature	importance_mean	importance_std
total_clipped_bases	0.061875943172994205	0.0038974209508682582
kmer_js_divergence	0.04542782439855557	0.0028890734443471405
softclip_right	0.03256186966515462	0.00299575385403195
softclip_left	0.03223221253121444	0.0022142919853019197
kmer_cosine_diff	0.028759114946677315	0.0020434689436782606
mapq	0.004852849811976418	0.0011005982930953344
sa_mean_mapq	0.001702239826915497	0.000815715045215345
has_sa	0.0010675451363444054	0.0007778944548405312
microhomology_gc	0.0009136865213960843	0.0005393402122580254
sa_max_delta_pos	0.0008781343842405199	0.0008785748036834485
sa_mean_delta_pos	0.00044858987548487275	0.0007362121073707785
microhomology_length	0.00015367422206202797	0.0009067636711993491
sa_mean_nm	0.0	0.0
breakpoint_read_pos	0.0	0.0
read_length	0.0	0.0
sa_min_nm	0.0	0.0
sa_opp_strand_count	0.0	0.0
sa_diff_contig	0.0	0.0
sa_min_delta_pos	-0.00028677573048714323	0.0006274361106509301
num_segments	-0.00038258613406706997	0.0006291671186475073
sa_count	-0.0005685846746970036	0.0006806011630911389
sa_max_mapq	-0.0006143442124304955	0.0005700511843478085
sa_same_strand_count	-0.0006332375478985463	0.0007581659467204633
strand	-0.0009693533926351916	0.0007456113813121765
