feature	importance_mean	importance_std
kmer_js_divergence	0.0627929622371553	0.00339689801629984
total_clipped_bases	0.053545466782250285	0.0023373013393894046
kmer_cosine_diff	0.0521670208977766	0.002752232024104391
softclip_right	0.04540627949479077	0.0027286974261154545
softclip_left	0.04473791225887039	0.002389955505225097
mapq	0.005061837400932434	0.0008680965240511679
sa_count	0.002730347467627292	0.0019230531144268164
microhomology_length	0.0017105727970963824	0.0009941166100939252
microhomology_gc	0.0012592478649486427	0.0007235444952564072
sa_mean_mapq	0.00024556552527292276	0.0008950807397915898
sa_max_delta_pos	0.00021560268679982064	0.000792585237453275
sa_min_delta_pos	0.0001974926816909306	0.00044905703774545134
has_sa	9.237870176525553e-05	0.00047124139423582623
sa_max_mapq	1.811559583193012e-05	0.0008487691933816147
sa_mean_nm	0.0	0.0
sa_min_nm	0.0	0.0
sa_opp_strand_count	0.0	0.0
breakpoint_read_pos	0.0	0.0
sa_diff_contig	0.0	0.0
read_length	0.0	0.0
sa_same_strand_count	-2.46961293111414e-05	0.0007970169490675444
num_segments	-0.00016552267201448977	0.0003844639277712117
sa_mean_delta_pos	-0.0003264458433774986	0.0008399226199971841
