epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693130	0.691991	0.521406	0.084852	0.537302
2	0.681381	0.672777	0.529375	0.219285	0.527287
3	0.670660	0.671349	0.535000	0.130841	0.536557
4	0.669551	0.669556	0.537969	0.167277	0.532777
5	0.668477	0.669340	0.535156	0.132400	0.532746
6	0.667915	0.668672	0.535312	0.146383	0.532511
7	0.667780	0.668794	0.531250	0.228395	0.530794
8	0.667609	0.669055	0.528594	0.250435	0.531751
9	0.667222	0.668773	0.532344	0.207572	0.530588
10	0.667208	0.668915	0.530625	0.223773	0.529118
11	0.667001	0.668875	0.525781	0.333114	0.534544
12	0.666948	0.669034	0.529531	0.284288	0.532181
13	0.666531	0.669145	0.532031	0.294132	0.530618
14	0.666474	0.669624	0.527969	0.270466	0.534169
15	0.666606	0.669235	0.530469	0.378233	0.534411
16	0.666387	0.669324	0.526563	0.220278	0.532672
17	0.666375	0.669289	0.531563	0.242929	0.535658
18	0.666192	0.668897	0.532969	0.192380	0.530740
19	0.666498	0.669744	0.531094	0.383652	0.538407
20	0.665946	0.670049	0.526719	0.430960	0.533091
