epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693362	0.693150	0.500000	0.000000	0.507450
2	0.693308	0.693233	0.500000	0.000000	0.513955
3	0.693213	0.693104	0.507812	0.479167	0.511549
4	0.693228	0.693121	0.500000	0.000625	0.510707
5	0.693136	0.693033	0.504531	0.059887	0.519589
6	0.692858	0.692241	0.500156	0.666528	0.548069
7	0.692173	0.691196	0.526250	0.284568	0.553667
8	0.690786	0.690162	0.526875	0.607772	0.551259
9	0.690757	0.690129	0.524844	0.589664	0.548108
10	0.690146	0.688652	0.541094	0.519234	0.556975
11	0.688918	0.685379	0.553125	0.576547	0.575693
12	0.687598	0.686851	0.537656	0.608131	0.570177
13	0.686018	0.683163	0.552656	0.428657	0.592089
14	0.682792	0.684563	0.540625	0.340511	0.599713
15	0.680074	0.674465	0.584844	0.599548	0.613017
