epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693465	0.693035	0.500000	0.666667	0.568409
2	0.692187	0.691003	0.526719	0.233747	0.565761
3	0.679868	0.672925	0.591562	0.614227	0.619765
4	0.656426	0.667980	0.602812	0.672676	0.661080
5	0.627019	0.634073	0.648906	0.676830	0.699830
6	0.592824	0.603435	0.681562	0.711004	0.740540
7	0.546622	0.565306	0.707187	0.717771	0.776657
8	0.503806	0.540548	0.728750	0.750072	0.799037
9	0.462782	0.500099	0.760000	0.777198	0.832878
10	0.418515	0.488150	0.773125	0.785904	0.847144
11	0.386724	0.467621	0.781250	0.802594	0.861802
12	0.346385	0.455330	0.790625	0.789374	0.870940
13	0.324447	0.429036	0.805469	0.814705	0.882284
14	0.290375	0.408523	0.817031	0.822280	0.896943
15	0.275102	0.422383	0.815625	0.830508	0.892611
16	0.240893	0.395106	0.831562	0.839631	0.907258
17	0.225754	0.389443	0.837187	0.845355	0.909205
18	0.202292	0.438035	0.825469	0.843667	0.909512
19	0.199139	0.395475	0.831406	0.833923	0.911048
20	0.184131	0.383829	0.846562	0.852286	0.918194
21	0.169459	0.383837	0.850156	0.859074	0.921780
22	0.154243	0.401092	0.846875	0.855882	0.920013
23	0.148066	0.435910	0.844375	0.858321	0.918075
24	0.136856	0.388479	0.855313	0.860500	0.926129
25	0.131330	0.439042	0.845781	0.859261	0.925516
26	0.124300	0.448350	0.846406	0.861060	0.925346
27	0.118722	0.429898	0.849844	0.861866	0.925693
28	0.108819	0.428459	0.855000	0.858234	0.926945
29	0.104835	0.519709	0.837187	0.854955	0.920455
30	0.100968	0.469630	0.851875	0.865226	0.928304
