epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693427	0.692574	0.518000	0.538425	0.524725
2	0.691709	0.688964	0.537750	0.359099	0.567686
3	0.675057	0.651912	0.617125	0.605842	0.666323
4	0.616073	0.597922	0.662750	0.638822	0.745765
5	0.522891	0.535629	0.711500	0.671786	0.827440
6	0.430071	0.452857	0.790375	0.812059	0.866187
7	0.354135	0.416590	0.809000	0.810797	0.889676
8	0.296875	0.372486	0.834375	0.849517	0.913291
9	0.244730	0.340691	0.856500	0.860916	0.925953
10	0.209094	0.329010	0.867125	0.873708	0.933771
11	0.179621	0.320444	0.873875	0.880436	0.936049
12	0.165433	0.306132	0.887000	0.891659	0.945364
13	0.131487	0.320353	0.882625	0.890008	0.947202
14	0.119257	0.307166	0.887125	0.892410	0.948689
15	0.107529	0.340259	0.879625	0.889349	0.949467
16	0.103516	0.304715	0.894250	0.897752	0.954522
17	0.089255	0.406954	0.871250	0.883246	0.948010
18	0.084371	0.356981	0.888500	0.896231	0.953352
19	0.084862	0.321720	0.887750	0.894278	0.952051
20	0.075826	0.360270	0.887500	0.896146	0.956353
21	0.068756	0.328637	0.892125	0.897978	0.952445
22	0.061734	0.342184	0.900125	0.905589	0.959356
23	0.060412	0.343561	0.896125	0.902293	0.956801
24	0.061675	0.354228	0.892750	0.899860	0.955671
25	0.059390	0.304093	0.904750	0.908015	0.957945
26	0.054294	0.355525	0.894875	0.899774	0.955530
27	0.050911	0.386130	0.898000	0.904651	0.961363
28	0.048604	0.452807	0.879125	0.890276	0.958602
29	0.046034	0.420021	0.889500	0.897567	0.958118
30	0.044725	0.368480	0.898500	0.904155	0.959056
