epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693841	0.692760	0.515156	0.497164	0.517872
2	0.686751	0.691453	0.524531	0.574822	0.535571
3	0.675698	0.691298	0.536094	0.556137	0.551232
4	0.654412	0.683777	0.554531	0.572243	0.583678
5	0.614844	0.657799	0.618125	0.642272	0.663035
6	0.523901	0.581907	0.710156	0.692014	0.779770
7	0.365263	0.423307	0.815469	0.812688	0.892867
8	0.217236	0.353317	0.860313	0.868761	0.930939
9	0.124021	0.291708	0.887969	0.886209	0.956039
10	0.080166	0.372394	0.882500	0.890539	0.953559
11	0.056489	0.286760	0.908906	0.909261	0.966494
12	0.042981	0.322614	0.908438	0.910178	0.965217
13	0.040738	0.347165	0.904062	0.908983	0.963444
14	0.027041	0.332911	0.914687	0.917870	0.969885
15	0.027921	0.319403	0.912813	0.915480	0.969440
16	0.027688	0.357271	0.912656	0.916104	0.967589
17	0.025821	0.346958	0.918594	0.922227	0.972203
18	0.023419	0.339802	0.915625	0.919283	0.970877
19	0.020903	0.321055	0.923281	0.926088	0.972464
20	0.022233	0.341660	0.920781	0.924677	0.972939
21	0.018406	0.348629	0.922813	0.926203	0.974375
22	0.013022	0.295861	0.932969	0.934713	0.977993
23	0.019058	0.339102	0.922813	0.925083	0.972313
24	0.018724	0.291290	0.930781	0.931689	0.976377
25	0.015188	0.456633	0.913281	0.918681	0.973268
26	0.020955	0.372925	0.921562	0.925453	0.975203
27	0.012627	0.447654	0.917813	0.922942	0.976859
28	0.019226	0.365485	0.916250	0.920687	0.975720
29	0.016156	0.329953	0.929219	0.930723	0.975932
30	0.016588	0.339070	0.924844	0.926844	0.973869
