epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693498	0.693445	0.507000	0.452526	0.513547
2	0.692344	0.693383	0.505500	0.646217	0.519069
3	0.681894	0.690968	0.537125	0.538107	0.557104
4	0.662919	0.677179	0.590500	0.543224	0.618662
5	0.593924	0.570811	0.707875	0.697084	0.776499
6	0.404613	0.375765	0.846250	0.853885	0.914751
7	0.223010	0.261907	0.900125	0.902215	0.955140
8	0.132654	0.235914	0.916625	0.915942	0.969614
9	0.088185	0.228248	0.924000	0.926694	0.971501
10	0.060002	0.219343	0.932375	0.934464	0.975415
11	0.046516	0.211864	0.937250	0.938390	0.978198
12	0.033466	0.215920	0.932375	0.932383	0.978455
13	0.034334	0.279901	0.934500	0.937574	0.975815
14	0.026700	0.232730	0.949125	0.950517	0.981669
15	0.022505	0.254846	0.941625	0.942944	0.980994
16	0.024191	0.267789	0.939500	0.940744	0.978412
17	0.025058	0.343869	0.935500	0.938366	0.979531
18	0.018706	0.300033	0.940875	0.942576	0.979712
19	0.020142	0.304188	0.941500	0.943818	0.981100
20	0.017642	0.257392	0.945375	0.947088	0.981417
21	0.017711	0.250732	0.948625	0.950018	0.982757
22	0.019369	0.246145	0.947375	0.948464	0.981750
23	0.020537	0.218552	0.947750	0.948522	0.983696
24	0.017630	0.282329	0.946750	0.948489	0.982500
25	0.014381	0.277541	0.948875	0.950116	0.983680
26	0.014421	0.243159	0.951625	0.952287	0.984949
27	0.019426	0.339257	0.940125	0.942738	0.980431
28	0.015089	0.231886	0.947625	0.948871	0.982586
29	0.015686	0.283774	0.944500	0.946390	0.980628
30	0.017558	0.286913	0.943750	0.945494	0.982071
