feature	importance_mean	importance_std
total_clipped_bases	0.30932925294730385	0.0038388115039093965
kmer_js_divergence	0.026443443947880275	0.0023728769233099635
kmer_cosine_diff	0.012591807977049918	0.0016190560543333163
mapq	0.004150500147183767	0.0006807588229073695
microhomology_length	0.0010045377606913487	0.0012115617801223193
softclip_right	0.0001048553344384473	0.0010018599194920065
sa_max_delta_pos	9.015097052981203e-05	0.00014099109640798279
read_length	0.0	0.0
sa_mean_nm	0.0	0.0
sa_diff_contig	0.0	0.0
breakpoint_read_pos	0.0	0.0
sa_opp_strand_count	0.0	0.0
sa_min_nm	0.0	0.0
sa_same_strand_count	-3.683184396611194e-05	0.0003745307547944132
microhomology_gc	-5.362155016391812e-05	0.0006652056062530892
sa_count	-8.508415716478313e-05	0.0003522336216341193
sa_min_delta_pos	-9.156493424515855e-05	0.0002181185777847518
sa_mean_delta_pos	-9.474690032510447e-05	0.0002744222648827763
num_segments	-0.00011884396723538249	0.000308090835702868
has_sa	-0.00012051593890304302	0.00020744822866396645
sa_max_mapq	-0.00014606626815021339	0.000338725312932649
sa_mean_mapq	-0.00017190273713360015	0.00030000716391169745
softclip_left	-0.0009861567656174186	0.0005142626060108641
