feature	importance_mean	importance_std
total_clipped_bases	0.11854196405829551	0.002419768901916636
kmer_js_divergence	0.06112872072758463	0.0029691833427906637
kmer_cosine_diff	0.04450450385130232	0.0025009196812177423
softclip_left	0.014653519627172628	0.0014907253845403944
mapq	0.006149321870612956	0.0009085661108097045
softclip_right	0.004905097119081781	0.0006087820501645798
microhomology_length	0.00028334051327147944	0.0007989121686304212
read_length	0.0	0.0
breakpoint_read_pos	0.0	0.0
sa_mean_nm	0.0	0.0
sa_min_nm	0.0	0.0
sa_max_mapq	0.0	0.0
sa_opp_strand_count	0.0	0.0
sa_mean_delta_pos	0.0	0.0
sa_min_delta_pos	0.0	0.0
sa_diff_contig	0.0	0.0
sa_count	0.0	0.0
microhomology_gc	-1.471663769618825e-05	0.000551698340599523
has_sa	-0.00021648964078020417	0.00028335699442914224
num_segments	-0.00035595660723199975	0.0005693315270281804
sa_max_delta_pos	-0.00038125254315022337	0.0005992526644507963
sa_mean_mapq	-0.00044952413360932475	0.0007579898446531686
sa_same_strand_count	-0.0007092786093767956	0.0011260752545260522
