dataset	model	thresh	reads_in	reads_out	pct_kept	spades_contigs	spades_total_len	spades_max_len	contigs_path	read_level	chimera_pct	gfa_path	gfa_nodes	gfa_links	gfa_components	unf_spades_contigs	unf_spades_total_len	unf_spades_max_len	unf_gfa_components	unf_gfa_nodes	unf_gfa_links	delta_contigs	delta_total_len	delta_max_len	delta_components	delta_nodes
3200_final_5	GB	0.5	3200	3117	97.406	1	16577	16577	data/assemblies_spades/3200_final_5_gb_t0p5/spades/contigs.fasta	3200	5	data/assemblies_spades/3200_final_5_gb_t0p5/spades/assembly_graph.gfa				1	16599	16599				0	-22	-22		
3200_final_10	GB	0.5	3200	3047	95.219	1	16615	16615	data/assemblies_spades/3200_final_10_gb_t0p5/spades/contigs.fasta	3200	10	data/assemblies_spades/3200_final_10_gb_t0p5/spades/assembly_graph.gfa				1	16591	16591				0	24	24		
3200_final_15	GB	0.5	3200	2988	93.375	1	16606	16606	data/assemblies_spades/3200_final_15_gb_t0p5/spades/contigs.fasta	3200	15	data/assemblies_spades/3200_final_15_gb_t0p5/spades/assembly_graph.gfa				1	16645	16645				0	-39	-39		
3200_final_50	GB	0.5	3200	2492	77.875	1	16646	16646	data/assemblies_spades/3200_final_50_gb_t0p5/spades/contigs.fasta	3200	50	data/assemblies_spades/3200_final_50_gb_t0p5/spades/assembly_graph.gfa				1	16736	16736				0	-90	-90		
10K_final_5	GB	0.5	10000	9732	97.32	1	16615	16615	data/assemblies_spades/10K_final_5_gb_t0p5/spades/contigs.fasta	10K	5	data/assemblies_spades/10K_final_5_gb_t0p5/spades/assembly_graph.gfa				1	16615	16615				0	0	0		
10K_final_10	GB	0.5	10000	9530	95.3	1	16614	16614	data/assemblies_spades/10K_final_10_gb_t0p5/spades/contigs.fasta	10K	10	data/assemblies_spades/10K_final_10_gb_t0p5/spades/assembly_graph.gfa				1	16704	16704				0	-90	-90		
10K_final_15	GB	0.5	10000	9333	93.33	1	16642	16642	data/assemblies_spades/10K_final_15_gb_t0p5/spades/contigs.fasta	10K	15	data/assemblies_spades/10K_final_15_gb_t0p5/spades/assembly_graph.gfa				1	16735	16735				0	-93	-93		
10K_final_50	GB	0.5	10000	7894	78.94	1	16787	16787	data/assemblies_spades/10K_final_50_gb_t0p5/spades/contigs.fasta	10K	50	data/assemblies_spades/10K_final_50_gb_t0p5/spades/assembly_graph.gfa				1	16715	16715				0	72	72		
20K_final_5	CNN	0.5	20000	16737	83.685	1	16669	16669	data/assemblies_spades/20K_final_5_cnn_t0p5/spades/contigs.fasta	20K	5	data/assemblies_spades/20K_final_5_cnn_t0p5/spades/assembly_graph.gfa				1	16669	16669				0	0	0		
20K_final_10	CNN	0.5	20000	15988	79.94	1	16770	16770	data/assemblies_spades/20K_final_10_cnn_t0p5/spades/contigs.fasta	20K	10	data/assemblies_spades/20K_final_10_cnn_t0p5/spades/assembly_graph.gfa				1	16799	16799				0	-29	-29		
20K_final_15	GB	0.5	20000	18669	93.345	1	16891	16891	data/assemblies_spades/20K_final_15_gb_t0p5/spades/contigs.fasta	20K	15	data/assemblies_spades/20K_final_15_gb_t0p5/spades/assembly_graph.gfa				1	16747	16747				0	144	144		
20K_final_50	GB	0.5	20000	15697	78.485	1	16799	16799	data/assemblies_spades/20K_final_50_gb_t0p5/spades/contigs.fasta	20K	50	data/assemblies_spades/20K_final_50_gb_t0p5/spades/assembly_graph.gfa				966	163906	407				-965	-147107	16392		
