read_level	chimera_pct	dataset	model	thresh	pct_kept	delta_components	delta_nodes	delta_contigs	delta_max_len	delta_total_len
3200	5	3200_final_5	BIGRU	0.5	82.938	-1	-1	0	-284	-284
3200	5	3200_final_5	CNN	0.5	82.125	-1	-1	0	-24	-24
3200	5	3200_final_5	GB	0.5	97.406	-1	-1	0	-22	-22
3200	10	3200_final_10	BIGRU	0.5	78.938	0	0	0	-172	-172
3200	10	3200_final_10	CNN	0.5	79.812	0	0	0	-1	-1
3200	10	3200_final_10	GB	0.5	95.219	0	0	0	24	24
3200	15	3200_final_15	BIGRU	0.5	75.562	0	0	0	-83	-83
3200	15	3200_final_15	CNN	0.5	75.188	0	2	1	-1720	-203
3200	15	3200_final_15	GB	0.5	93.375	0	0	0	-39	-39
3200	50	3200_final_50	BIGRU	0.5	44.594	7	7	7	-9270	-798
3200	50	3200_final_50	CNN	0.5	48.781	1	1	1	-489	-202
3200	50	3200_final_50	GB	0.5	77.875	0	0	0	-90	-90
10K	5	10K_final_5	BIGRU	0.5	82.84	0	0	0	-7	-7
10K	5	10K_final_5	CNN	0.5	83.09	0	0	0	-12	-12
10K	5	10K_final_5	GB	0.5	97.32	0	0	0	0	0
10K	10	10K_final_10	BIGRU	0.5	79.38	0	0	0	-90	-90
10K	10	10K_final_10	CNN	0.5	78.47	0	0	0	-11	-11
10K	10	10K_final_10	GB	0.5	95.3	0	0	0	-90	-90
10K	15	10K_final_15	BIGRU	0.5	75.21	0	0	0	-124	-124
10K	15	10K_final_15	CNN	0.5	75.95	0	0	0	-124	-124
10K	15	10K_final_15	GB	0.5	93.33	0	0	0	-93	-93
10K	50	10K_final_50	BIGRU	0.5	44.68	1	-1	0	-125	-125
10K	50	10K_final_50	CNN	0.5	49.47	0	-1	0	-6	-6
10K	50	10K_final_50	GB	0.5	78.94	0	-1	0	72	72
20K	5	20K_final_5	BIGRU	0.5	83.84	0	0	0	-55	-55
20K	5	20K_final_5	CNN	0.5	82.575	0	0	0	0	0
20K	5	20K_final_5	GB	0.5	97.49	0	1	0	-50	-50
20K	10	20K_final_10	BIGRU	0.5	79.4	0	-2	0	-101	-101
20K	10	20K_final_10	CNN	0.5	78.935	0	-2	0	-183	-183
20K	10	20K_final_10	GB	0.5	95.135	0	-2	0	-183	-183
20K	15	20K_final_15	BIGRU	0.5	75.125	0	-2	0	-133	-133
20K	15	20K_final_15	CNN	0.5	75.22	0	-2	0	-101	-101
20K	15	20K_final_15	GB	0.5	93.345	0	-2	0	144	144
20K	50	20K_final_50	BIGRU	0.5	44.85	0	-964	-965	16307	-147192
20K	50	20K_final_50	CNN	0.5	49.89	0	-965	-965	16338	-147161
20K	50	20K_final_50	GB	0.5	78.485	0	-963	-965	16392	-147107
