read_level	chimera_pct	dataset	model	thresh	reads_in	reads_out	pct_kept	spades_contigs	spades_total_len	spades_max_len	gfa_components	gfa_nodes	gfa_links	contigs_path	gfa_path
3200	5	3200_final_5	BIGRU	0.5	3200	2654	82.938	1	16315	16315	1	1	0	data/assemblies_spades/final_run/bigru_3k_5_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_5_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	5	3200_final_5	CNN	0.5	3200	2628	82.125	1	16575	16575	1	1	0	data/assemblies_spades/final_run/3200_final_5_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_5_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	5	3200_final_5	GB	0.5	3200	3117	97.406	1	16577	16577	1	1	0	data/assemblies_spades/final_run/3200_final_5_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_5_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	5	3200_final_5	UNFILTERED		3200	3200	100.0	1	16599	16599	2	2	0	data/assemblies_spades/final_run/3200_final_5_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_5_unfiltered/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	BIGRU	0.5	3200	2526	78.938	1	16419	16419	1	1	0	data/assemblies_spades/final_run/bigru_3k_10_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_10_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	CNN	0.5	3200	2554	79.812	1	16590	16590	1	1	0	data/assemblies_spades/final_run/3200_final_10_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_10_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	GB	0.5	3200	3047	95.219	1	16615	16615	1	1	0	data/assemblies_spades/final_run/3200_final_10_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_10_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	UNFILTERED		3200	3200	100.0	1	16591	16591	1	1	0	data/assemblies_spades/final_run/3200_final_10_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_10_unfiltered/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	BIGRU	0.5	3200	2418	75.562	1	16562	16562	1	1	0	data/assemblies_spades/final_run/bigru_3k_15_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_15_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	CNN	0.5	3200	2406	75.188	2	16442	14925	1	3	2	data/assemblies_spades/final_run/3200_final_15_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_15_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	GB	0.5	3200	2988	93.375	1	16606	16606	1	1	0	data/assemblies_spades/final_run/3200_final_15_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_15_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	UNFILTERED		3200	3200	100.0	1	16645	16645	1	1	0	data/assemblies_spades/final_run/3200_final_15_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_15_unfiltered/spades/assembly_graph_with_scaffolds.gfa
