feature	importance_mean	importance_std
total_clipped_bases	0.11596246290385867	0.003383274587354541
kmer_js_divergence	0.05734653986560898	0.002974756630315935
kmer_cosine_diff	0.03860867872377886	0.002433794934389053
softclip_left	0.01070071438721069	0.0016523827916661371
softclip_right	0.00582507949753131	0.0012034925866658485
mapq	0.00480433612715771	0.001079221484186401
microhomology_gc	0.0006342540558287757	0.0006557362004576746
sa_opp_strand_count	0.0	0.0
breakpoint_read_pos	0.0	0.0
sa_mean_nm	0.0	0.0
sa_min_nm	0.0	0.0
read_length	0.0	0.0
sa_max_delta_pos	0.0	0.0
sa_diff_contig	0.0	0.0
sa_count	0.0	0.0
microhomology_length	-0.00011264788315821783	0.000701531282557883
has_sa	-0.00023610692744349126	0.00041993134212440987
sa_same_strand_count	-0.0002566688441177301	0.0006475688306730355
sa_mean_delta_pos	-0.0002588133781142976	0.0004347366603390306
num_segments	-0.0002588133781142976	0.0004347366603390306
sa_mean_mapq	-0.00028150679004013135	0.00043071089983865194
sa_max_mapq	-0.0004517810064050276	0.0006649784454664205
sa_min_delta_pos	-0.0004932205270011591	0.0006654295193685866
strand	-0.0008195640979299923	0.0005158093463755558
