feature	importance_mean	importance_std	importance_pos	importance_frac	cum_frac
total_clipped_bases	0.11596246290385867	0.003383274587354541	0.11596246290385867	0.49581596872645334	0.49581596872645334
kmer_js_divergence	0.05734653986560898	0.002974756630315935	0.05734653986560898	0.24519425945747975	0.741010228183933
kmer_cosine_diff	0.03860867872377886	0.002433794934389053	0.03860867872377886	0.16507755150517628	0.9060877796891094
softclip_left	0.01070071438721069	0.0016523827916661371	0.01070071438721069	0.045752607672352404	0.9518403873614618
softclip_right	0.00582507949753131	0.0012034925866658485	0.00582507949753131	0.02490605461158228	0.976746441973044
mapq	0.00480433612715771	0.001079221484186401	0.00480433612715771	0.02054170385247081	0.9972881458255148
microhomology_gc	0.0006342540558287757	0.0006557362004576746	0.0006342540558287757	0.002711854174485305	1.0000000000000002
sa_max_delta_pos	0.0	0.0	0.0	0.0	1.0000000000000002
sa_opp_strand_count	0.0	0.0	0.0	0.0	1.0000000000000002
breakpoint_read_pos	0.0	0.0	0.0	0.0	1.0000000000000002
sa_mean_nm	0.0	0.0	0.0	0.0	1.0000000000000002
sa_min_nm	0.0	0.0	0.0	0.0	1.0000000000000002
read_length	0.0	0.0	0.0	0.0	1.0000000000000002
sa_diff_contig	0.0	0.0	0.0	0.0	1.0000000000000002
sa_count	0.0	0.0	0.0	0.0	1.0000000000000002
sa_mean_delta_pos	-0.0002588133781142976	0.0004347366603390306	0.0	0.0	1.0000000000000002
has_sa	-0.00023610692744349126	0.00041993134212440987	0.0	0.0	1.0000000000000002
sa_same_strand_count	-0.0002566688441177301	0.0006475688306730355	0.0	0.0	1.0000000000000002
num_segments	-0.0002588133781142976	0.0004347366603390306	0.0	0.0	1.0000000000000002
sa_mean_mapq	-0.00028150679004013135	0.00043071089983865194	0.0	0.0	1.0000000000000002
sa_max_mapq	-0.0004517810064050276	0.0006649784454664205	0.0	0.0	1.0000000000000002
sa_min_delta_pos	-0.0004932205270011591	0.0006654295193685866	0.0	0.0	1.0000000000000002
microhomology_length	-0.00011264788315821783	0.000701531282557883	0.0	0.0	1.0000000000000002
strand	-0.0008195640979299923	0.0005158093463755558	0.0	0.0	1.0000000000000002
