model	test_accuracy	test_precision	test_recall	test_f1	test_roc_auc
logreg_l2_tuned	0.7897961735650869	0.9464767038891028	0.6145	0.7451872063058966	0.8256316299724793
linear_svm_calibrated_tuned	0.7894210328873328	0.9453846153846154	0.6145	0.7448484848484849	0.8251468914185639
random_forest_tuned	0.8050518944604227	0.9283959283959284	0.66125	0.7723755292743466	0.8387990055041281
extra_trees_tuned	0.8016756283606352	0.9173582295988935	0.66325	0.7698781195589088	0.8349119026770078
gradient_boosting_tuned	0.8090533950231337	0.9367714588484635	0.663	0.7764602547211242	0.8458581748811609
xgboost_tuned	0.8056771289233463	0.9431159420289855	0.65075	0.7701183431952663	0.8432247623217414
lightgbm_tuned	0.8086782543453795	0.9468162083936325	0.65425	0.7738024837374334	0.8434506817613211
catboost_tuned	0.8080530198824559	0.9353585305545744	0.662	0.77528912311521	0.8429180322742057
bagging_trees_tuned	0.8051769413530073	0.9290231904427266	0.661	0.7724218521764534	0.8418701838879159
mlp_tuned	0.7929223458797049	0.9504227517294389	0.61825	0.7491669191154195	0.8285058481361021
