model	cv_accuracy_mean	cv_accuracy_std	cv_f1_mean	cv_f1_std	test_accuracy	test_precision	test_recall	test_f1	test_roc_auc	n_train	n_test
dummy_baseline	0.5002188477005207	3.127442856611928e-05	0.6668611689989685	2.7792251099167945e-05	0.5001875703388771	0.5001875703388771	1.0	0.6668333750104193	0.5	31986	7997
logreg_l2	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.9999999999999999	31986	7997
linear_svm_calibrated	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.9999999999999999	31986	7997
random_forest	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
extra_trees	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
gradient_boosting	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
xgboost	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
lightgbm	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
catboost	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
knn	0.9996873681068166	0.00019772345423630183	0.9996873925338547	0.00019771959920350946	0.9997499062148305	1.0	0.9995	0.9997499374843711	1.0	31986	7997
gaussian_nb	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
qda	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
bagging_trees	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
mlp	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	31986	7997
