model	cv_accuracy_mean	cv_accuracy_std	cv_f1_mean	cv_f1_std	test_accuracy	test_precision	test_recall	test_f1	test_roc_auc	n_train	n_test
dummy_baseline	0.5002188477005207	3.127442856611928e-05	0.6668611689989685	2.7792251099167945e-05	0.5001875703388771	0.5001875703388771	1.0	0.6668333750104193	0.5	31986	7997
logreg_l2	0.7935034557999234	0.004498132104559628	0.7516777183592837	0.006123518544355667	0.7890458922095785	0.9453215248363497	0.61375	0.744277701985751	0.8206533962972229	31986	7997
linear_svm_calibrated	0.7934096569473724	0.00436348767529523	0.7517070050742248	0.0059058150808025634	0.7890458922095785	0.944978838014621	0.614	0.7443552053341416	0.8204630660495371	31986	7997
random_forest	0.7995061181333878	0.003581244513243453	0.7700263211652781	0.00577920357137516	0.7877954232837314	0.8936752136752136	0.6535	0.7549458483754513	0.8343584563422567	31986	7997
extra_trees	0.7982555416943596	0.0035417440719213837	0.7669175051882418	0.005855017560756222	0.7879204701763162	0.9011142061281338	0.647	0.7532013969732246	0.8235156992744557	31986	7997
gradient_boosting	0.8101357686470237	0.0034181067056102982	0.7771418378085404	0.0048325586117464875	0.8021758159309741	0.9364620938628159	0.6485	0.7663220088626292	0.8400745871903926	31986	7997
xgboost	0.8070719497060278	0.004146706828303195	0.7742953213543664	0.006028729209136289	0.7999249718644492	0.9285714285714286	0.65	0.7647058823529411	0.8388426007005254	31986	7997
lightgbm	0.8071344692433831	0.0032180674798979246	0.7749791637708529	0.0051045704567512125	0.7987995498311867	0.9258995368721055	0.64975	0.7636256794476275	0.8384149674756067	31986	7997
catboost	0.8100107051391655	0.0035901481637170183	0.7768763018358904	0.005223369242449206	0.8025509566087283	0.9362162162162162	0.6495	0.7669372693726937	0.8392314548411309	31986	7997
knn	0.7813415732982447	0.010772353753979677	0.7534207196779351	0.006146464433634521	0.7820432662248343	0.8919763806877388	0.642	0.7466201482773659	0.8147072804603452	31986	7997
gaussian_nb	0.7480775144530617	0.006290597887308014	0.6641560148446313	0.011172122325141776	0.7405276978867075	0.9963898916967509	0.483	0.6506145815793904	0.8193401613710283	31986	7997
bagging_trees	0.801256870417777	0.003681645888741497	0.7720794722031779	0.005449341557528629	0.7919219707390271	0.9	0.657	0.7595375722543353	0.837332561921441	31986	7997
mlp	0.7941287146996606	0.00391940651154586	0.752833915432192	0.005557768224465609	0.7894210328873328	0.9314456035767511	0.625	0.7480550568521843	0.8192826807605704	31986	7997
