feature,loading,abs_loading
sa_mean_mapq,0.6920826567844773,0.6920826567844773
sa_max_mapq,0.6920826567844773,0.6920826567844773
sa_min_delta_pos,0.11405354537119619,0.11405354537119619
sa_max_delta_pos,0.11405354537119619,0.11405354537119619
sa_mean_delta_pos,0.11405354537119619,0.11405354537119619
softclip_right,0.026699886323940002,0.026699886323940002
softclip_left,0.02480143324737276,0.02480143324737276
total_clipped_bases,0.016820717641575982,0.016820717641575982
kmer_cosine_diff,0.016585856751008043,0.016585856751008043
num_segments,0.014177951343486265,0.014177951343486265
sa_opp_strand_count,0.014177951343486265,0.014177951343486265
sa_count,0.014177951343486261,0.014177951343486261
has_sa,0.014177951343486251,0.014177951343486251
breakpoint_read_pos,0.012575283382271062,0.012575283382271062
kmer_js_divergence,0.00893707960793886,0.00893707960793886
mean_base_quality,0.008904035268079306,0.008904035268079306
mapq,0.002786414505153643,0.002786414505153643
ref_start_1based,0.0011496153469592318,0.0011496153469592318
sa_mean_nm,0.001020825070183383,0.001020825070183383
sa_min_nm,0.001020825070183383,0.001020825070183383
