pc,explained_variance_ratio,explained_variance_ratio_cum
PC1,0.526766965206274,0.526766965206274
PC2,0.4419479207890851,0.9687148859953592
PC3,0.019595747053345956,0.9883106330487051
PC4,0.0074493882954302214,0.9957600213441353
PC5,0.0016350902505533295,0.9973951115946886
PC6,0.0007613193920241793,0.9981564309867128
PC7,0.0006303641481053415,0.9987867951348182
PC8,0.0004740578934249768,0.9992608530282432
PC9,0.00044041835834307156,0.9997012713865863
PC10,0.00010368814683623856,0.9998049595334225
