,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
mean_base_quality,0.0002293315345359538,0.008904035268079306,-0.0034202163712462306,0.045597812042567104,0.03084145866508661,0.006475180493741894,0.041970107448569244,-0.031968842072891315,0.3128637826037769,0.9430706498955348
ref_start_1based,0.00038679139797914014,0.0011496153469592318,-0.0009079868766733966,0.004275087718728879,0.008163598068767817,-0.010215999429033456,0.9952812951254173,0.043511496804366535,-0.08300440110621184,-0.01670315139808633
mapq,2.1988184385967574e-05,0.002786414505153643,-0.002672793766642843,0.020545167059272472,0.998887540990819,0.003911025409170848,-0.011539523835606871,0.0021185341491151755,-0.03402115574401493,-0.021810114738266533
has_sa,-0.00013477866660213704,0.014177951343486251,0.0035140789816149333,0.06603276200047484,-0.00166068366115994,3.287262119074294e-05,-0.0011469302074240387,0.0013835132157949037,-0.005265888887900086,-0.0013807605293549622
sa_count,-0.00013477866660231702,0.014177951343486261,0.003514078981614975,0.06603276200047463,-0.0016606836611594334,3.2872621190194985e-05,-0.0011469302074230776,0.00138351321579492,-0.0052658888879005975,-0.0013807605293530713
num_segments,-0.00013477866660232374,0.014177951343486265,0.003514078981615251,0.06603276200047471,-0.0016606836611597353,3.287262119026199e-05,-0.0011469302074213325,0.0013835132157952014,-0.005265888887903225,-0.0013807605293502992
sa_min_delta_pos,-0.0011593188936834936,0.11405354537119619,0.028538543258090115,0.5501807749478208,-0.014996003190314177,0.0014324620073510202,-0.011124463284150598,0.010544055906771571,-0.10086559229341581,0.00659966829537832
sa_max_delta_pos,-0.0011593188936835006,0.11405354537119619,0.02853854325809013,0.5501807749478208,-0.014996003190313955,0.0014324620073507817,-0.011124463284150487,0.01054405590677178,-0.10086559229341634,0.006599668295378945
sa_mean_delta_pos,-0.0011593188936835006,0.11405354537119619,0.02853854325809013,0.5501807749478208,-0.01499600319031401,0.0014324620073507609,-0.01112446328415057,0.010544055906771696,-0.10086559229341634,0.006599668295378903
sa_opp_strand_count,-0.00013477866660232288,0.014177951343486265,0.0035140789816151103,0.06603276200047455,-0.0016606836611594022,3.287262119007507e-05,-0.001146930207420753,0.0013835132157947378,-0.005265888887898747,-0.0013807605293565382
sa_max_mapq,-0.008634140917600338,0.6920826567844773,-0.020236689779913747,-0.1432384164167988,0.000859322307363278,6.891331306278062e-05,-0.0005124178629373922,0.00010550782354223273,-0.0037542350860613237,0.0014512303645078171
sa_mean_mapq,-0.008634140917600331,0.6920826567844773,-0.02023668977991374,-0.14323841641679877,0.0008593223073631947,6.891331306278062e-05,-0.0005124178629373922,0.00010550782354174701,-0.0037542350860608796,0.001451230364507151
sa_min_nm,-6.473331926551469e-05,0.001020825070183383,-2.8267152782710884e-06,0.0005321704654290059,4.659314534902993e-05,0.00800427029746273,-0.002246890917264358,0.005518004757693531,0.001488906700919367,-0.006424575299439669
sa_mean_nm,-6.473331926551469e-05,0.001020825070183383,-2.8267152782710884e-06,0.0005321704654290059,4.659314534903009e-05,0.008004270297462725,-0.002246890917264361,0.00551800475769354,0.0014889067009193678,-0.0064245752994396685
softclip_left,-0.028318567874859056,0.02480143324737276,-0.018773032884864305,0.10614713405483148,0.01119486211142827,0.7069985762557578,0.05478759651224952,-0.029321716937139097,0.5905518467637723,-0.20393695349516064
softclip_right,0.027635673639973952,0.026699886323940002,-0.009475057411553117,0.11000234842304643,0.01683009029225802,-0.7047653568089807,0.0427303322202498,-0.08541288491377506,0.5914156303682547,-0.19695889394321894
total_clipped_bases,-0.00012706259555604987,0.016820717641575982,-0.009188903645226424,0.07068251833170346,0.009317635769196775,0.0007073130529233298,0.031655019437612626,-0.03704801973513266,0.3802690824017868,-0.12381873561309822
breakpoint_read_pos,0.9990562321117947,0.012575283382271062,0.012409212502316897,-0.0012105014229098338,-0.0001580497079016564,0.03962107025949004,-2.281448095845419e-05,0.001572334027745121,0.0003603571243552078,-0.0005616317662426284
kmer_cosine_diff,-0.011419640761213209,0.016585856751008043,0.8801672759557561,-0.047032562641752394,0.0036161341793210598,0.0032618263300558978,0.005752512904591768,0.0006943110589826885,-0.019339756712070503,0.05176341956277241
kmer_js_divergence,-0.0060880835218203415,0.00893707960793886,0.47039593156100296,-0.018093617400368626,0.002963109299951942,0.007060969703331369,-0.002574650016997716,-0.016747806153355763,0.09821075921388285,-0.105718824933085
microhomology_length,-3.3925167081606876e-05,0.00013227937397364528,0.004343008863609843,-0.0016187178055122357,0.0011827175734999452,-0.03766223290787037,-0.032938538812125745,0.9503257807691143,0.09520014343562873,-0.000812456376296855
microhomology_gc,-0.00026555040983460677,3.0365263759842954e-05,0.0015134240271778465,-0.0004139632607135783,0.00010983120299142093,-0.010660105392443586,-0.013381989785787836,0.28939235499782956,0.0345377619835572,0.00818256300244794
