pc,explained_variance_ratio,explained_variance_ratio_cum
PC1,0.9321075700054055,0.9321075700054055
PC2,0.041500172332908467,0.9736077423383139
PC3,0.01571276432125054,0.9893205066595645
PC4,0.0034489204378221386,0.9927694270973867
PC5,0.0033413953122251355,0.9961108224096118
PC6,0.001329453839922341,0.9974402762495341
PC7,0.0010005073278389583,0.9984407835773731
PC8,0.0009288932078116789,0.9993696767851847
PC9,0.0002188359712648534,0.9995885127564496
PC10,0.00016068080414744922,0.999749193560597
