,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
mean_base_quality,0.008899611100968666,-0.0035326590201679602,0.04561636106688826,0.03078879900968437,0.0019817356506941822,0.04197458316906281,-0.03175217501358934,0.3128075394604947,0.9431909829424656,0.006607497297271055
ref_start_1based,0.0011436818164874962,-0.0010498024752439508,0.004316046890579114,0.00878150266193446,-0.009314541059280186,0.9952756068768046,0.04364056218030164,-0.08303565335858998,-0.016765473510555195,0.0028439827231755734
mapq,0.002785773404661565,-0.002688924915980802,0.020545593687139384,0.9965487195039792,0.06842557103549461,-0.011537812054599758,0.0019624943117461497,-0.034041781543352086,-0.02179744723143177,-0.0002719527252960236
has_sa,0.014178420471437804,0.003466986534457386,0.06603543181201647,-0.0016677392086693144,4.243927187918283e-05,-0.0011469116038952776,0.0013678869809149682,-0.00526997021207898,-0.0013717352953330555,-0.002300774826643216
sa_count,0.014178420471437804,0.0034669865344575143,0.06603543181201632,-0.0016677392086687176,4.2439271879249614e-05,-0.0011469116038946704,0.0013678869809143855,-0.005269970212073875,-0.0013717352953408106,-0.0023007748266433295
num_segments,0.014178420471437804,0.0034669865344576253,0.0660354318120165,-0.001667739208669134,4.243927187932074e-05,-0.0011469116038952672,0.0013678869809148776,-0.0052699702120785254,-0.0013717352953339689,-0.00230077482664323
sa_min_delta_pos,0.11405844578616527,0.02818036550550347,0.5501927448807732,-0.015164027136183183,0.0019859255966214254,-0.011123721177460175,0.010282310237725618,-0.10089514683502784,0.006595580517091307,-0.0001178643880828893
sa_max_delta_pos,0.11405844578616527,0.02818036550550347,0.5501927448807732,-0.015164027136183183,0.0019859255966213595,-0.01112372117746048,0.010282310237725573,-0.10089514683502782,0.006595580517091168,-0.00011786438808281124
sa_mean_delta_pos,0.11405844578616527,0.02818036550550347,0.5501927448807732,-0.015164027136183183,0.0019859255966213074,-0.01112372117746023,0.010282310237725594,-0.10089514683502779,0.006595580517091251,-0.00011786438808283119
sa_opp_strand_count,0.0141784204714378,0.0034669865344576258,0.06603543181201647,-0.0016677392086690325,4.243927187926008e-05,-0.0011469116038974494,0.0013678869809145653,-0.0052699702120785775,-0.0013717352953332735,-0.0023007748266431764
sa_max_mapq,0.6921362969981695,-0.02016321591700119,-0.14324932985918284,0.0008824824560269251,-0.00030108324438211687,-0.000512345718518735,9.12754324828897e-05,-0.003755758101377826,0.0014523717334187169,-0.000873676289636565
sa_mean_mapq,0.6921362969981695,-0.02016321591700119,-0.14324932985918284,0.0008824824560268973,-0.0003010832443821238,-0.000512345718518735,9.12754324830493e-05,-0.0037557581013780202,0.0014523717334190083,-0.0008736762896364761
sa_min_nm,0.0010216857184618129,1.901786566030687e-05,0.0005238355861182415,-0.00023090334860925704,0.004397819531213144,-0.0022421928844378264,0.005136718443113543,0.0013840687015943976,-0.005037602924929194,0.7068479161879377
sa_mean_nm,0.0010216857184618127,1.9017865660306923e-05,0.0005238355861182399,-0.0002309033486092584,0.004397819531213139,-0.002242192884437973,0.005136718443113536,0.001384068701594412,-0.00503760292492916,0.7068479161879376
softclip_left,0.02522375512120669,-0.008620187782021877,0.10307936269321603,-0.03479924245770878,0.7123301392575176,0.05513729726981435,-0.04867932422986697,0.5860592751559249,-0.19840648704431477,-0.00681807302173318
softclip_right,0.02628211451927931,-0.019545333101014424,0.11298313886207309,0.061956581244928685,-0.6982787274114682,0.0423788804122111,-0.06320761352467977,0.5961976519853991,-0.20254716963264122,0.001872802800500798
total_clipped_bases,0.016820763526483623,-0.009195461178769767,0.07066349230637592,0.009119140261068505,0.0033164147297271326,0.03165469568015314,-0.03617348857891154,0.38035145843552537,-0.12372079666951208,-0.00012809930744612442
kmer_cosine_diff,0.016756632192997074,0.8802604573341949,-0.046429546918075576,0.004165444666971542,-0.00762196289267058,0.005754836822647298,0.00048311498096210694,-0.019378607865776214,0.05153742841855704,0.000509942627218015
kmer_js_divergence,0.009028115807161414,0.4704412347230822,-0.01777293100609634,0.0031006272154032815,-0.0015434414387532165,-0.0025701867380488004,-0.016874969513851264,0.09816548610820966,-0.10502428379174676,-0.0009063233684798403
microhomology_length,0.00013277780062228263,0.004328251170127517,-0.0016069585779246982,0.0017947755281338212,-0.009849576254170234,-0.03297310558119024,0.951202493541537,0.09310158432507427,-0.00037797512130087056,-0.00027114253279606794
microhomology_gc,3.43485004391204e-05,0.0015973846539186537,-0.00043529667045751454,4.4419738136524494e-05,0.0008085152853089632,-0.013392763233713743,0.2897609648279803,0.033923610151283826,0.007607852608328408,-0.024623527121941793
