feature,loading,abs_loading
sa_max_mapq,0.6921362969981695,0.6921362969981695
sa_mean_mapq,0.6921362969981695,0.6921362969981695
sa_min_delta_pos,0.11405844578616527,0.11405844578616527
sa_max_delta_pos,0.11405844578616527,0.11405844578616527
sa_mean_delta_pos,0.11405844578616527,0.11405844578616527
softclip_right,0.02628211451927931,0.02628211451927931
softclip_left,0.02522375512120669,0.02522375512120669
total_clipped_bases,0.016820763526483623,0.016820763526483623
kmer_cosine_diff,0.016756632192997074,0.016756632192997074
has_sa,0.014178420471437804,0.014178420471437804
sa_count,0.014178420471437804,0.014178420471437804
num_segments,0.014178420471437804,0.014178420471437804
sa_opp_strand_count,0.0141784204714378,0.0141784204714378
kmer_js_divergence,0.009028115807161414,0.009028115807161414
mean_base_quality,0.008899611100968666,0.008899611100968666
mapq,0.002785773404661565,0.002785773404661565
ref_start_1based,0.0011436818164874962,0.0011436818164874962
sa_min_nm,0.0010216857184618129,0.0010216857184618129
sa_mean_nm,0.0010216857184618127,0.0010216857184618127
microhomology_length,0.00013277780062228263,0.00013277780062228263
