read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
chimera_1_A9831-10051_B14983-15061_MH0_5841_6201_0:0:0_0:0:0_1f17	1	150	40.000	NC_039553.1	40	-	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_6065_6554_0:0:0_0:0:0_186b	1	150	40.000	NC_039553.1	53	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_6077_6582_0:0:0_0:0:0_cdc	1	150	40.000	NC_039553.1	65	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_6077_6624_0:0:0_0:0:0_106a	1	150	40.000	NC_039553.1	65	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_6079_6580_0:0:0_0:0:0_1476	1	150	40.000	NC_039553.1	67	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_105052_105449_0:0:0_0:0:0_1dbe	1	150	40.000	NC_039553.1	67	-	60	118M32S	1	1	2	0	4246	4246	4246.000	1	0	10	10.000	0	0.000	0	32	32	75	0.971828	0.971429	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_5773_6230_0:0:0_0:0:0_25d7	1	150	40.000	NC_039553.1	69	-	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_105309_105872_0:0:0_0:0:0_1e82	1	150	40.000	NC_039553.1	76	+	60	109M41S	1	1	2	0	4237	4237	4237.000	1	0	16	16.000	0	0.000	0	41	41	75	0.957742	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_5820_6238_0:0:0_0:0:0_ace	1	150	40.000	NC_039553.1	77	-	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.943656	0.942857	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_105312_105848_0:0:0_0:0:0_3da	1	150	40.000	NC_039553.1	79	+	60	106M44S	1	1	2	0	4234	4234	4234.000	1	0	17	17.000	0	0.000	0	44	44	75	0.985914	0.985714	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_207069_207575_0:0:0_0:0:0_1808	1	150	40.000	NC_039553.1	84	+	60	112M38S	1	1	2	0	5197	5197	5197.000	1	0	10	10.000	0	0.000	0	38	38	75	0.972580	0.971429	1	1.000
chimera_1_A9831-10051_B14983-15061_MH0_207070_207600_0:0:0_0:0:0_201c	1	150	40.000	NC_039553.1	85	+	60	111M39S	1	1	2	0	5196	5196	5196.000	1	0	20	20.000	0	0.000	0	39	39	75	0.972580	0.971429	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_32224_32709_0:0:0_0:0:0_1a22	1	150	40.000	NC_039553.1	88	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.956833	0.955539	1	1.000
chimera_1_A9831-10051_B14983-15061_MH0_41011_41583_0:0:0_0:0:0_8af	1	150	40.000	NC_039553.1	89	+	60	15S135M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	15	0	15	75	0.942857	0.942857	1	1.000
chimera_1_A9831-10051_B14983-15061_MH0_40996_41525_0:0:0_0:0:0_f20	1	150	40.000	NC_039553.1	89	+	60	30S120M	1	1	2	0	1973	1973	1973.000	1	0	1	1.000	0	0.000	30	0	30	75	0.957742	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_40985_41514_0:0:0_0:0:0_1047	1	150	40.000	NC_039553.1	89	+	60	41S109M	1	1	2	0	1962	1962	1962.000	1	0	15	15.000	0	0.000	41	0	41	75	0.986290	0.985714	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_105028_105471_0:0:0_0:0:0_e2e	1	150	40.000	NC_039553.1	89	-	60	96M54S	1	1	2	0	4224	4224	4224.000	1	0	48	48.000	0	0.000	0	54	54	75	0.986106	0.985714	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_40665_41142_0:0:0_0:0:0_2371	1	150	40.000	NC_039553.1	89	-	60	33S117M	1	1	2	0	1970	1970	1970.000	1	0	1	1.000	0	0.000	33	0	33	75	0.958317	0.957143	2	1.000
chimera_1_A9831-10051_B14983-15061_MH0_41027_41581_0:0:0_0:0:0_ae9	1	150	40.000	NC_039553.1	90	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	1	1.000
chimera_1_A9831-10051_B14983-15061_MH0_5784_6251_0:0:0_0:0:0_133d	1	150	40.000	NC_039553.1	90	-	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	1	1.000
chimera_1_A9831-10051_B14983-15061_MH0_5788_6251_0:0:0_0:0:0_1913	1	150	40.000	NC_039553.1	90	-	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	1	1.000
chimera_1_A9831-10051_B14983-15061_MH0_32227_32777_0:0:0_0:0:0_be3	1	150	40.000	NC_039553.1	91	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.956519	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_6103_6612_0:0:0_0:0:0_f0a	1	150	40.000	NC_039553.1	91	+	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96655_97124_0:0:0_0:0:0_bdf	1	150	40.000	NC_039553.1	91	-	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_105005_105473_0:0:0_0:0:0_2219	1	150	40.000	NC_039553.1	91	-	60	94M56S	1	1	2	0	4222	4222	4222.000	1	0	52	52.000	0	0.000	0	56	56	75	0.986106	0.985714	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96947_97480_0:0:0_0:0:0_328	1	150	40.000	NC_039553.1	92	+	60	29S121M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	29	0	29	75	0.958333	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96904_97467_0:0:0_0:0:0_856	1	150	40.000	NC_039553.1	92	+	60	72S78M	1	1	2	0	3064	3064	3064.000	1	0	60	60.000	0	0.000	72	0	72	75	0.986106	0.985714	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96910_97381_0:0:0_0:0:0_1789	1	150	40.000	NC_039553.1	92	+	60	66S84M	1	1	2	0	3070	3070	3070.000	1	0	59	59.000	0	0.000	66	0	66	75	1.000000	1.000000	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96965_97496_0:0:0_0:0:0_1792	1	150	40.000	NC_039553.1	92	+	60	11S139M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	11	0	11	75	0.957143	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96960_97487_0:0:0_0:0:0_17db	1	150	40.000	NC_039553.1	92	+	60	16S134M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	16	0	16	75	0.928571	0.928571	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96973_97516_0:0:0_0:0:0_19ea	1	150	40.000	NC_039553.1	92	+	60	3S147M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	3	0	3	75	0.958317	0.957143	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96922_97391_0:0:0_0:0:0_1bfd	1	150	40.000	NC_039553.1	92	+	60	54S96M	1	1	2	0	3082	3082	3082.000	1	0	30	30.000	0	0.000	54	0	54	75	1.000000	1.000000	1	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96933_97454_0:0:0_0:0:0_26d6	1	150	40.000	NC_039553.1	92	+	60	43S107M	1	1	2	0	3093	3093	3093.000	1	0	16	16.000	0	0.000	43	0	43	75	1.000000	1.000000	0	0.000
chimera_1_A9831-10051_B14983-15061_MH0_96633_97086_0:0:0_0:0:0_3cc	1	150	40.000	NC_039553.1	92	-	60	39S111M	1	1	2	0	3097	3097	3097.000	1	0	16	16.000	0	0.000	39	0	39	75	1.000000	1.000000	0	0.000
