read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_4_536_8:0:0_7:0:0_673	-1	150	13.000	NC_039553.1	4	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	1	0.000
NC_039553.1_4_466_10:0:0_9:0:0_a6f	-1	150	13.000	NC_039553.1	4	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_8_486_6:0:0_4:0:0_996	-1	150	13.000	NC_039553.1	8	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.959445	0.957143	0	0.000
NC_039553.1_14_458_7:0:0_6:0:0_b33	-1	150	13.000	NC_039553.1	14	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
NC_039553.1_24_542_12:0:0_9:0:0_4e1	-1	150	13.000	NC_039553.1	24	0	47	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.959996	0.957143	0	0.000
NC_039553.1_39_517_7:0:0_10:0:0_508	-1	150	13.000	NC_039553.1	39	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.973312	0.971429	0	0.000
NC_039553.1_42_584_14:0:0_4:0:0_32e	-1	150	13.000	NC_039553.1	42	0	50	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	2	0.500
NC_039553.1_44_564_11:0:0_6:0:0_43a	-1	150	13.000	NC_039553.1	44	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	0.000
NC_039553.1_45_498_6:0:0_10:0:0_5ad	-1	150	13.000	NC_039553.1	45	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_49_634_6:0:0_10:0:0_868	-1	150	13.000	NC_039553.1	49	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_59_587_2:0:0_7:0:0_b36	-1	150	13.000	NC_039553.1	59	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972222	0.971429	0	0.000
NC_039553.1_59_538_4:0:0_9:0:0_7a5	-1	150	13.000	NC_039553.1	59	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_62_448_10:0:0_8:0:0_699	-1	150	13.000	NC_039553.1	62	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	1	1.000
NC_039553.1_62_619_5:0:0_10:0:0_88a	-1	150	13.000	NC_039553.1	62	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958333	0.957143	1	1.000
NC_039553.1_66_569_10:0:0_4:0:0_a52	-1	150	13.000	NC_039553.1	66	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_68_533_13:0:0_8:0:0_61c	-1	150	13.000	NC_039553.1	68	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	1.000
NC_039553.1_80_483_9:0:0_4:0:0_86c	-1	150	13.000	NC_039553.1	80	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	1	1.000
NC_039553.1_81_637_5:0:0_5:0:0_3ba	-1	150	13.000	NC_039553.1	81	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972222	0.971429	0	0.000
NC_039553.1_86_594_11:0:0_6:0:0_56e	-1	150	13.000	NC_039553.1	86	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_89_629_5:0:0_4:0:0_74	-1	150	13.000	NC_039553.1	89	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_91_504_4:0:0_6:0:0_325	-1	150	13.000	NC_039553.1	91	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_98_644_3:0:0_9:0:0_82c	-1	150	13.000	NC_039553.1	98	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	3	0.667
NC_039553.1_102_564_6:0:0_10:0:0_869	-1	150	13.000	NC_039553.1	102	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_103_653_9:0:0_4:0:0_a0c	-1	150	13.000	NC_039553.1	103	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	1	1.000
NC_039553.1_104_508_7:0:0_6:0:0_569	-1	150	13.000	NC_039553.1	104	0	57	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	1.000
chimera_1_A9521-9767_B15646-15698_MH3_31602_32083_0:0:0_0:0:0_de	-1	150	40.000	NC_039553.1	105	1	60	72S78M	1	1	2	0	1351	1351	1351.000	1	0	60	60.000	0	0.000	72	0	72	72	0.986255	0.985707	0	0.000
