read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_34_520_8:0:0_12:0:0_4c6	-1	150	13.000	NC_039553.1	34	0	39	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	0	0.000
chimera_1_A6859-7021_B47-183_MH3_160140_160575_0:0:0_0:0:0_3a0	-1	150	40.000	NC_039553.1	43	1	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	0	0.000
NC_039553.1_45_600_5:0:0_10:0:0_21a	-1	150	13.000	NC_039553.1	45	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	0	0.000
chimera_1_A6859-7021_B47-183_MH3_134883_135361_0:0:0_0:0:0_19c	-1	150	40.000	NC_039553.1	46	1	60	133M17S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	17	17	133	0.975426	0.980768	0	0.000
chimera_1_A6859-7021_B47-183_MH3_153_641_0:0:0_0:0:0_406	-1	150	40.000	NC_039553.1	47	0	60	8S137M5S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	8	5	13	8	1.000000	1.000000	0	0.000
NC_039553.1_60_570_7:0:0_5:0:0_96	-1	150	13.000	NC_039553.1	60	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986656	0.985714	2	1.000
NC_039553.1_79_579_12:0:0_10:0:0_255	-1	150	13.000	NC_039553.1	79	0	52	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985714	0.985714	0	0.000
NC_039553.1_83_503_3:0:0_6:0:0_3f4	-1	150	13.000	NC_039553.1	83	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	1	1.000
NC_039553.1_84_564_4:0:0_6:0:0_437	-1	150	13.000	NC_039553.1	84	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	1	1.000
chimera_1_A6859-7021_B47-183_MH3_323084_323571_0:0:0_0:0:0_b4	-1	150	40.000	NC_039553.1	84	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958869	0.957143	1	1.000
chimera_1_A6859-7021_B47-183_MH3_67215_67668_0:0:0_0:0:0_592	-1	150	40.000	NC_039553.1	87	0	60	34S116M	1	1	2	0	2746	2746	2746.000	0	1	32	32.000	0	0.000	34	0	34	34	1.000000	1.000000	0	0.000
chimera_1_A6859-7021_B47-183_MH3_67234_67686_0:0:0_0:0:0_2ff	-1	150	40.000	NC_039553.1	87	0	60	15S135M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	15	0	15	15	1.000000	1.000000	0	0.000
chimera_1_A6859-7021_B47-183_MH3_160144_160619_0:0:0_0:0:0_4	-1	150	40.000	NC_039553.1	87	1	60	139M11S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	11	11	139	1.000000	1.000000	0	0.000
chimera_1_A6859-7021_B47-183_MH3_66870_67330_0:0:0_0:0:0_15a	-1	150	40.000	NC_039553.1	87	1	60	68S82M	1	1	2	0	2712	2712	2712.000	0	1	60	60.000	0	0.000	68	0	68	68	1.000000	1.000000	0	0.000
NC_039553.1_90_596_12:0:0_11:0:0_62d	-1	150	13.000	NC_039553.1	90	0	45	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	1	1.000
chimera_1_A6859-7021_B47-183_MH3_66892_67406_0:0:0_0:0:0_56b	-1	150	40.000	NC_039553.1	95	1	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_93_547_7:0:0_7:0:0_233	-1	150	13.000	NC_039553.1	97	0	60	4S146M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	4	0	4	4	0.000000	0.500000	0	0.000
chimera_1_A6859-7021_B47-183_MH3_97517_98094_0:0:0_0:0:0_3b	-1	150	40.000	NC_039553.1	99	0	60	132M18S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	18	18	132	1.000000	1.000000	0	0.000
chimera_1_A6859-7021_B47-183_MH3_135265_135699_0:0:0_0:0:0_5f3	-1	150	40.000	NC_039553.1	99	0	60	80M70S	1	1	2	0	6066	6066	6066.000	0	1	60	60.000	0	0.000	0	70	70	80	0.960986	0.957082	0	0.000
chimera_1_A6859-7021_B47-183_MH3_66984_67410_0:0:0_0:0:0_67	-1	150	40.000	NC_039553.1	99	1	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
