read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_2_523_5:0:0_12:0:0_1dc5	-1	150	13.000	NC_039553.1	2	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972222	0.971429	0	0.000
NC_039553.1_3_528_6:0:0_6:0:0_a81	-1	150	13.000	NC_039553.1	3	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	1	0.000
NC_039553.1_3_505_8:0:0_3:0:0_174e	-1	150	13.000	NC_039553.1	3	0	57	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_5_526_5:0:0_11:0:0_d5b	-1	150	13.000	NC_039553.1	5	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_5_575_6:0:0_9:0:0_168e	-1	150	13.000	NC_039553.1	5	0	54	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	0	0.000
NC_039553.1_11_470_9:0:0_6:0:0_ed0	-1	150	13.000	NC_039553.1	14	0	60	3S147M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	3	0	3	3	0.000000	0.500000	2	0.000
NC_039553.1_15_532_12:0:0_6:0:0_12e6	-1	150	13.000	NC_039553.1	15	0	50	145M5S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	5	5	145	0.000000	0.500000	0	0.000
NC_039553.1_15_468_6:0:0_7:0:0_e03	-1	150	13.000	NC_039553.1	15	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.944423	0.942857	1	0.000
NC_039553.1_15_550_6:0:0_7:0:0_829	-1	150	13.000	NC_039553.1	15	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_16_552_7:0:0_7:0:0_2289	-1	150	13.000	NC_039553.1	16	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958900	0.957143	1	0.000
NC_039553.1_19_530_8:0:0_2:0:0_1e66	-1	150	13.000	NC_039553.1	19	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
NC_039553.1_19_471_5:0:0_8:0:0_95e	-1	150	13.000	NC_039553.1	19	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972600	0.971429	3	0.000
NC_039553.1_19_453_6:0:0_4:0:0_225f	-1	150	13.000	NC_039553.1	19	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	1	0.000
NC_039553.1_30_504_6:0:0_4:0:0_1312	-1	150	13.000	NC_039553.1	30	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_30_489_9:0:0_8:0:0_1e23	-1	150	13.000	NC_039553.1	30	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_31_522_9:0:0_5:0:0_1c7b	-1	150	13.000	NC_039553.1	31	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_33_543_9:0:0_9:0:0_1270	-1	150	13.000	NC_039553.1	33	0	36	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_33_658_12:0:0_7:0:0_1c4	-1	150	13.000	NC_039553.1	33	0	44	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	1.000
NC_039553.1_35_560_5:0:0_3:0:0_55f	-1	150	13.000	NC_039553.1	35	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	1	0.000
NC_039553.1_35_516_5:0:0_16:0:0_1210	-1	150	13.000	NC_039553.1	35	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972222	0.971429	1	0.000
NC_039553.1_36_563_6:0:0_13:0:0_1888	-1	150	13.000	NC_039553.1	36	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
NC_039553.1_37_581_7:0:0_6:0:0_1532	-1	150	13.000	NC_039553.1	37	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972222	0.971429	1	0.000
NC_039553.1_38_526_4:0:0_8:0:0_1c18	-1	150	13.000	NC_039553.1	38	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_38_488_4:0:0_4:0:0_1b02	-1	150	13.000	NC_039553.1	38	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	1	0.000
NC_039553.1_38_586_9:0:0_5:0:0_1426	-1	150	13.000	NC_039553.1	38	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	0.000
chimera_1_A6859-7021_B47-183_MH3_322723_323190_0:0:0_0:0:0_ed	-1	150	40.000	NC_039553.1	41	1	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985506	2	0.500
NC_039553.1_42_523_7:0:0_9:0:0_1092	-1	150	13.000	NC_039553.1	42	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	2	0.500
NC_039553.1_43_536_7:0:0_9:0:0_716	-1	150	13.000	NC_039553.1	43	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_46_561_11:0:0_9:0:0_2f7	-1	150	13.000	NC_039553.1	46	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
chimera_1_A6859-7021_B47-183_MH3_122_615_0:0:0_0:0:0_1c5	-1	150	40.000	NC_039553.1	47	0	60	39S111M	1	1	2	0	6933	6933	6933.000	0	1	16	16.000	0	0.000	39	0	39	39	0.967590	0.968933	0	0.000
NC_039553.1_49_630_8:0:0_8:0:0_2312	-1	150	13.000	NC_039553.1	49	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_49_541_10:0:0_4:0:0_206b	-1	150	13.000	NC_039553.1	49	0	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_50_578_9:0:0_10:0:0_228f	-1	150	13.000	NC_039553.1	50	0	58	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_52_586_5:0:0_12:0:0_10a5	-1	150	13.000	NC_039553.1	52	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_55_567_7:0:0_10:0:0_7ed	-1	150	13.000	NC_039553.1	55	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_56_527_10:0:0_5:0:0_23f8	-1	150	13.000	NC_039553.1	56	0	50	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.958317	0.957143	1	1.000
NC_039553.1_57_579_4:0:0_9:0:0_7c4	-1	150	13.000	NC_039553.1	57	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	0	0.000
NC_039553.1_57_590_6:0:0_10:0:0_2049	-1	150	13.000	NC_039553.1	57	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_59_476_10:0:0_9:0:0_da7	-1	150	13.000	NC_039553.1	59	0	38	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_61_513_6:0:0_9:0:0_557	-1	150	13.000	NC_039553.1	61	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	2	1.000
NC_039553.1_66_621_11:0:0_7:0:0_46c	-1	150	13.000	NC_039553.1	71	0	60	5S145M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	5	0	5	5	0.000000	0.500000	0	0.000
NC_039553.1_72_585_6:0:0_8:0:0_5c6	-1	150	13.000	NC_039553.1	72	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	1	1.000
NC_039553.1_73_624_9:0:0_8:0:0_d5	-1	150	13.000	NC_039553.1	73	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_76_580_4:0:0_7:0:0_16c5	-1	150	13.000	NC_039553.1	76	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_83_544_8:0:0_9:0:0_1d13	-1	150	13.000	NC_039553.1	83	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	1	1.000
NC_039553.1_87_569_5:0:0_14:0:0_20a	-1	150	13.000	NC_039553.1	87	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
