read_id	fold
NC_039553.1_10001_10492_5:0:0_8:0:0_b77/1	2
NC_039553.1_10001_10492_5:0:0_8:0:0_b77/2	2
NC_039553.1_10003_10548_5:0:0_8:0:0_f4d/1	1
NC_039553.1_10003_10548_5:0:0_8:0:0_f4d/2	1
NC_039553.1_10005_10512_6:0:0_6:0:0_c35/1	2
NC_039553.1_10005_10512_6:0:0_6:0:0_c35/2	2
NC_039553.1_10008_10523_3:0:0_10:0:0_9f4/1	4
NC_039553.1_10008_10523_3:0:0_10:0:0_9f4/2	4
NC_039553.1_10012_10513_12:0:0_5:0:0_1340/1	4
NC_039553.1_10012_10513_12:0:0_5:0:0_1340/2	4
NC_039553.1_10012_10591_3:0:0_5:0:0_2571/1	2
NC_039553.1_10012_10591_3:0:0_5:0:0_2571/2	2
NC_039553.1_10015_10459_2:0:0_8:0:0_253e/1	3
NC_039553.1_10015_10459_2:0:0_8:0:0_253e/2	3
NC_039553.1_10015_10585_10:0:0_11:0:0_d4c/1	0
NC_039553.1_10015_10585_10:0:0_11:0:0_d4c/2	0
NC_039553.1_10017_10523_7:0:0_8:0:0_1f7d/1	2
NC_039553.1_10017_10523_7:0:0_8:0:0_1f7d/2	2
NC_039553.1_1001_1533_11:0:0_11:0:0_a2d/1	4
NC_039553.1_1001_1533_11:0:0_11:0:0_a2d/2	4
NC_039553.1_10020_10441_6:0:0_10:0:0_2411/1	2
NC_039553.1_10020_10441_6:0:0_10:0:0_2411/2	2
NC_039553.1_10023_10564_15:0:0_7:0:0_f8c/1	1
NC_039553.1_10023_10564_15:0:0_7:0:0_f8c/2	1
NC_039553.1_10024_10530_6:0:0_5:0:0_236f/1	4
NC_039553.1_10024_10530_6:0:0_5:0:0_236f/2	4
NC_039553.1_10025_10466_6:0:0_6:0:0_20c3/1	3
NC_039553.1_10025_10466_6:0:0_6:0:0_20c3/2	3
NC_039553.1_10027_10640_11:0:0_8:0:0_63c/1	4
NC_039553.1_10027_10640_11:0:0_8:0:0_63c/2	4
NC_039553.1_1002_1440_6:0:0_11:0:0_cc2/1	2
NC_039553.1_1002_1440_6:0:0_11:0:0_cc2/2	2
NC_039553.1_10032_10491_7:0:0_6:0:0_117d/1	4
NC_039553.1_10032_10491_7:0:0_6:0:0_117d/2	4
NC_039553.1_10034_10589_9:0:0_8:0:0_217a/1	3
NC_039553.1_10034_10589_9:0:0_8:0:0_217a/2	3
NC_039553.1_10034_10680_5:0:0_11:0:0_1e6b/1	3
NC_039553.1_10034_10680_5:0:0_11:0:0_1e6b/2	3
NC_039553.1_10035_10484_7:0:0_9:0:0_321/1	2
NC_039553.1_10035_10484_7:0:0_9:0:0_321/2	2
NC_039553.1_10036_10497_6:0:0_7:0:0_22a3/1	4
NC_039553.1_10036_10497_6:0:0_7:0:0_22a3/2	4
NC_039553.1_1003_1457_4:0:0_13:0:0_2083/1	0
NC_039553.1_1003_1457_4:0:0_13:0:0_2083/2	0
NC_039553.1_1003_1483_4:0:0_8:0:0_21ab/1	3
NC_039553.1_1003_1483_4:0:0_8:0:0_21ab/2	3
NC_039553.1_1003_1495_4:0:0_9:0:0_12a9/1	3
NC_039553.1_1003_1495_4:0:0_9:0:0_12a9/2	3
NC_039553.1_10041_10580_6:0:0_11:0:0_1cb2/1	0
NC_039553.1_10041_10580_6:0:0_11:0:0_1cb2/2	0
NC_039553.1_10042_10520_8:0:0_7:0:0_1fa1/1	4
NC_039553.1_10042_10520_8:0:0_7:0:0_1fa1/2	4
NC_039553.1_10043_10490_5:0:0_2:0:0_1871/1	2
NC_039553.1_10043_10490_5:0:0_2:0:0_1871/2	2
NC_039553.1_10043_10536_10:0:0_6:0:0_74a/1	1
NC_039553.1_10043_10536_10:0:0_6:0:0_74a/2	1
NC_039553.1_10045_10494_10:0:0_6:0:0_df0/1	0
NC_039553.1_10045_10494_10:0:0_6:0:0_df0/2	0
NC_039553.1_10048_10547_7:0:0_10:0:0_1867/1	2
NC_039553.1_10048_10547_7:0:0_10:0:0_1867/2	2
NC_039553.1_10051_10553_7:0:0_8:0:0_1363/1	0
NC_039553.1_10051_10553_7:0:0_8:0:0_1363/2	0
NC_039553.1_10053_10524_8:0:0_10:0:0_1b0c/1	3
NC_039553.1_10053_10524_8:0:0_10:0:0_1b0c/2	3
NC_039553.1_10054_10574_9:0:0_9:0:0_9d4/1	1
NC_039553.1_10054_10574_9:0:0_9:0:0_9d4/2	1
NC_039553.1_10054_10607_7:0:0_8:0:0_8ba/1	1
NC_039553.1_10054_10607_7:0:0_8:0:0_8ba/2	1
NC_039553.1_10055_10543_11:0:0_5:0:0_665/1	1
NC_039553.1_10055_10543_11:0:0_5:0:0_665/2	1
NC_039553.1_10063_10469_6:0:0_3:0:0_723/1	0
NC_039553.1_10063_10469_6:0:0_3:0:0_723/2	0
NC_039553.1_10065_10505_7:0:0_11:0:0_2007/1	0
NC_039553.1_10065_10505_7:0:0_11:0:0_2007/2	0
NC_039553.1_10065_10553_11:0:0_9:0:0_26ea/1	4
NC_039553.1_10065_10553_11:0:0_9:0:0_26ea/2	4
NC_039553.1_10065_10577_1:0:0_9:0:0_1d77/1	0
NC_039553.1_10065_10577_1:0:0_9:0:0_1d77/2	0
NC_039553.1_10065_10604_14:0:0_11:0:0_209b/1	0
NC_039553.1_10065_10604_14:0:0_11:0:0_209b/2	0
NC_039553.1_10065_10628_8:0:0_5:0:0_11bd/1	2
NC_039553.1_10065_10628_8:0:0_5:0:0_11bd/2	2
NC_039553.1_10066_10529_5:0:0_2:0:0_268c/1	1
NC_039553.1_10066_10529_5:0:0_2:0:0_268c/2	1
NC_039553.1_10066_10652_8:0:0_9:0:0_1143/1	4
NC_039553.1_10066_10652_8:0:0_9:0:0_1143/2	4
NC_039553.1_10069_10558_9:0:0_10:0:0_70/1	2
NC_039553.1_10069_10558_9:0:0_10:0:0_70/2	2
NC_039553.1_1006_1486_4:0:0_5:0:0_628/1	1
NC_039553.1_1006_1486_4:0:0_5:0:0_628/2	1
NC_039553.1_10072_10631_5:0:0_8:0:0_ab0/1	1
NC_039553.1_10072_10631_5:0:0_8:0:0_ab0/2	1
NC_039553.1_10073_10503_10:0:0_9:0:0_18f2/1	0
NC_039553.1_10073_10503_10:0:0_9:0:0_18f2/2	0
NC_039553.1_10073_10512_7:0:0_3:0:0_f7b/1	2
NC_039553.1_10073_10512_7:0:0_3:0:0_f7b/2	2
