read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_2_506_13:0:0_7:0:0_3dd	-1	150	13.000	NC_039553.1	2	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_3_553_6:0:0_11:0:0_53f	-1	150	13.000	NC_039553.1	3	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	1	0.000
NC_039553.1_4_392_8:0:0_6:0:0_f5e	-1	150	13.000	NC_039553.1	4	0	58	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972600	0.971429	1	0.000
NC_039553.1_6_469_5:0:0_9:0:0_1256	-1	150	13.000	NC_039553.1	6	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	1	1.000
NC_039553.1_7_474_11:0:0_8:0:0_12e5	-1	150	13.000	NC_039553.1	7	0	20	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_10_478_7:0:0_11:0:0_1cb3	-1	150	13.000	NC_039553.1	10	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_10_451_6:0:0_9:0:0_1c89	-1	150	13.000	NC_039553.1	10	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.973684	0.971429	0	0.000
NC_039553.1_18_479_6:0:0_10:0:0_fb	-1	150	13.000	NC_039553.1	18	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986665	0.985714	3	0.000
NC_039553.1_20_536_10:0:0_2:0:0_1406	-1	150	13.000	NC_039553.1	20	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971429	0.971429	0	0.000
NC_039553.1_22_541_7:0:0_5:0:0_a5c	-1	150	13.000	NC_039553.1	22	0	54	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_23_415_10:0:0_9:0:0_569	-1	150	13.000	NC_039553.1	23	0	48	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_25_460_4:0:0_1:0:0_2023	-1	150	13.000	NC_039553.1	25	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972973	0.971429	1	1.000
NC_039553.1_26_507_9:0:0_12:0:0_1971	-1	150	13.000	NC_039553.1	26	0	28	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986824	0.985714	0	0.000
chimera_1_A9044-9282_B1958-2018_MH3_295325_295783_0:0:0_0:0:0_12c	-1	150	40.000	NC_039553.1	27	0	60	35S115M	1	1	2	0	3325	3325	3325.000	0	1	5	5.000	0	0.000	35	0	35	35	0.900000	0.912272	1	1.000
chimera_1_A9044-9282_B1958-2018_MH3_295314_295810_0:0:0_0:0:0_50	-1	150	40.000	NC_039553.1	27	0	60	46S104M	1	1	2	0	3314	3314	3314.000	0	1	12	12.000	0	0.000	46	0	46	46	0.882059	0.898200	1	1.000
chimera_1_A9044-9282_B1958-2018_MH3_295348_295838_0:0:0_0:0:0_307	-1	150	40.000	NC_039553.1	27	0	60	12S138M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	12	0	12	12	1.000000	1.000000	1	1.000
chimera_1_A9044-9282_B1958-2018_MH3_294956_295487_0:0:0_0:0:0_27e	-1	150	40.000	NC_039553.1	27	1	60	22S128M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	22	0	22	22	1.000000	1.000000	1	1.000
NC_039553.1_28_477_6:0:0_9:0:0_19d9	-1	150	13.000	NC_039553.1	28	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986300	0.985714	1	0.000
NC_039553.1_31_424_8:0:0_6:0:0_2223	-1	150	13.000	NC_039553.1	31	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_32_538_10:0:0_8:0:0_1b86	-1	150	13.000	NC_039553.1	32	0	50	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986824	0.985714	2	1.000
NC_039553.1_36_513_8:0:0_1:0:0_194f	-1	150	13.000	NC_039553.1	36	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972580	0.971429	1	0.000
chimera_1_A9044-9282_B1958-2018_MH3_251273_251765_0:0:0_0:0:0_289	-1	150	40.000	NC_039553.1	38	0	60	42S108M	1	1	2	0	2222	2222	2222.000	0	1	14	14.000	0	0.000	42	0	42	42	0.936428	0.946623	0	0.000
NC_039553.1_40_519_9:0:0_8:0:0_8bd	-1	150	13.000	NC_039553.1	40	0	54	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_42_538_3:0:0_3:0:0_14b8	-1	150	13.000	NC_039553.1	42	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986656	0.985714	2	0.500
NC_039553.1_42_571_8:0:0_9:0:0_779	-1	150	13.000	NC_039553.1	42	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	2	0.500
NC_039553.1_44_564_6:0:0_9:0:0_102b	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_51_531_11:0:0_10:0:0_cd1	-1	150	13.000	NC_039553.1	51	0	46	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_53_569_6:0:0_4:0:0_742	-1	150	13.000	NC_039553.1	53	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_54_536_10:0:0_7:0:0_146f	-1	150	13.000	NC_039553.1	54	0	22	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	1	1.000
NC_039553.1_54_580_8:0:0_8:0:0_14a8	-1	150	13.000	NC_039553.1	54	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.973675	0.971429	1	1.000
chimera_1_A9044-9282_B1958-2018_MH3_218135_218587_0:0:0_0:0:0_286	-1	150	40.000	NC_039553.1	55	0	60	24S126M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	24	0	24	24	1.000000	1.000000	0	0.000
chimera_1_A9044-9282_B1958-2018_MH3_217882_218288_0:0:0_0:0:0_ce	-1	150	40.000	NC_039553.1	55	1	60	20S130M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	20	0	20	20	1.000000	1.000000	0	0.000
chimera_1_A9044-9282_B1958-2018_MH3_217775_218302_0:0:0_0:0:0_2b0	-1	150	40.000	NC_039553.1	55	1	60	6S144M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	6	0	6	6	1.000000	1.000000	0	0.000
chimera_1_A9044-9282_B1958-2018_MH3_217802_218266_0:0:0_0:0:0_13e	-1	150	40.000	NC_039553.1	55	1	60	42S108M	1	1	2	0	2324	2324	2324.000	0	1	18	18.000	0	0.000	42	0	42	42	0.984253	0.984697	0	0.000
NC_039553.1_56_539_13:0:0_9:0:0_10b0	-1	150	13.000	NC_039553.1	56	0	50	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	2	1.000
NC_039553.1_58_576_3:0:0_6:0:0_fbe	-1	150	13.000	NC_039553.1	58	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_63_557_8:0:0_5:0:0_186b	-1	150	13.000	NC_039553.1	63	0	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_63_464_8:0:0_7:0:0_a2a	-1	150	13.000	NC_039553.1	63	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
chimera_1_A9044-9282_B1958-2018_MH3_217837_218320_0:0:0_0:0:0_390	-1	150	40.000	NC_039553.1	67	1	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_70_545_9:0:0_7:0:0_956	-1	150	13.000	NC_039553.1	70	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	0	0.000
NC_039553.1_70_526_4:0:0_9:0:0_685	-1	150	13.000	NC_039553.1	70	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957742	0.957143	0	0.000
NC_039553.1_71_555_9:0:0_8:0:0_ed0	-1	150	13.000	NC_039553.1	71	0	49	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.929570	0.928571	0	0.000
NC_039553.1_76_551_5:0:0_4:0:0_2084	-1	150	13.000	NC_039553.1	76	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
NC_039553.1_76_626_8:0:0_13:0:0_db0	-1	150	13.000	NC_039553.1	76	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.942857	0.942857	0	0.000
NC_039553.1_77_562_7:0:0_7:0:0_1e5	-1	150	13.000	NC_039553.1	77	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.957143	0.957143	0	0.000
NC_039553.1_81_639_6:0:0_10:0:0_230	-1	150	13.000	NC_039553.1	81	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.971828	0.971429	0	0.000
NC_039553.1_82_696_7:0:0_6:0:0_ffd	-1	150	13.000	NC_039553.1	82	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
