read_uid	y_sim
NC_039553.1_3_540_8:0:0_6:0:0_ef2/F	0
NC_039553.1_4_430_13:0:0_11:0:0_243d/F	0
NC_039553.1_5_495_6:0:0_11:0:0_1d49/F	0
NC_039553.1_6_523_6:0:0_9:0:0_82c/F	0
NC_039553.1_9_574_7:0:0_7:0:0_181b/F	0
NC_039553.1_10_391_9:0:0_8:0:0_256b/F	0
NC_039553.1_11_509_6:0:0_11:0:0_a19/F	0
NC_039553.1_12_427_9:0:0_9:0:0_157/F	0
NC_039553.1_12_489_8:0:0_9:0:0_86f/F	0
NC_039553.1_12_593_13:0:0_13:0:0_2375/F	0
NC_039553.1_14_515_7:0:0_7:0:0_20a4/F	0
NC_039553.1_15_525_9:0:0_9:0:0_1e76/F	0
NC_039553.1_17_520_4:0:0_8:0:0_25c/F	0
NC_039553.1_18_522_8:0:0_9:0:0_c84/F	0
NC_039553.1_18_593_8:0:0_3:0:0_eca/F	0
NC_039553.1_18_482_5:0:0_7:0:0_1e4b/F	0
NC_039553.1_19_516_6:0:0_8:0:0_c1a/F	0
NC_039553.1_20_525_9:0:0_10:0:0_1b37/F	0
NC_039553.1_21_560_10:0:0_9:0:0_169b/F	0
NC_039553.1_23_443_2:0:0_8:0:0_1909/F	0
NC_039553.1_25_571_7:0:0_8:0:0_1932/F	0
NC_039553.1_28_536_8:0:0_5:0:0_1f82/F	0
NC_039553.1_32_487_8:0:0_8:0:0_20f5/F	0
NC_039553.1_34_520_8:0:0_3:0:0_691/F	0
NC_039553.1_34_452_2:0:0_16:0:0_d95/F	0
NC_039553.1_35_574_7:0:0_8:0:0_2035/F	0
NC_039553.1_36_542_8:0:0_9:0:0_1c3d/F	0
NC_039553.1_38_482_5:0:0_6:0:0_1022/F	0
NC_039553.1_39_591_8:0:0_6:0:0_2233/F	0
NC_039553.1_41_525_6:0:0_11:0:0_45e/F	0
NC_039553.1_43_423_11:0:0_5:0:0_12c2/F	0
NC_039553.1_44_580_4:0:0_8:0:0_977/F	0
NC_039553.1_48_505_7:0:0_13:0:0_54b/F	0
NC_039553.1_48_553_10:0:0_6:0:0_5d2/F	0
NC_039553.1_49_603_10:0:0_3:0:0_a2c/F	0
NC_039553.1_49_630_10:0:0_10:0:0_19c9/F	0
NC_039553.1_51_572_3:0:0_4:0:0_1a7e/F	0
NC_039553.1_53_545_8:0:0_11:0:0_237d/F	0
NC_039553.1_55_593_6:0:0_7:0:0_1a5/F	0
NC_039553.1_55_477_15:0:0_11:0:0_2408/F	0
NC_039553.1_57_508_7:0:0_5:0:0_2c/F	0
NC_039553.1_59_610_11:0:0_13:0:0_299/F	0
NC_039553.1_59_571_5:0:0_6:0:0_675/F	0
NC_039553.1_62_589_7:0:0_8:0:0_f24/F	0
NC_039553.1_62_500_6:0:0_4:0:0_1b5e/F	0
NC_039553.1_63_532_12:0:0_9:0:0_807/F	0
NC_039553.1_64_585_8:0:0_7:0:0_1e87/F	0
NC_039553.1_66_597_6:0:0_11:0:0_14ca/F	0
NC_039553.1_67_479_5:0:0_7:0:0_1539/F	0
NC_039553.1_67_566_8:0:0_8:0:0_22d5/F	0
NC_039553.1_68_584_6:0:0_7:0:0_3e1/F	0
NC_039553.1_68_556_5:0:0_4:0:0_499/F	0
NC_039553.1_68_606_5:0:0_9:0:0_24bb/F	0
NC_039553.1_70_555_6:0:0_4:0:0_49b/F	0
NC_039553.1_70_576_6:0:0_6:0:0_1b1a/F	0
NC_039553.1_71_588_8:0:0_5:0:0_414/F	0
NC_039553.1_74_552_7:0:0_8:0:0_b38/F	0
NC_039553.1_74_589_6:0:0_7:0:0_242a/F	0
NC_039553.1_75_568_9:0:0_6:0:0_b90/F	0
