read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_3_409_8:0:0_7:0:0_1d15	-1	150	13.000	NC_039553.1	3	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	1	0.000
NC_039553.1_4_606_7:0:0_8:0:0_1042	-1	150	13.000	NC_039553.1	4	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.985914	0.985714	1	0.000
NC_039553.1_5_476_10:0:0_6:0:0_1855	-1	150	13.000	NC_039553.1	5	0	56	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_10_458_8:0:0_9:0:0_1484	-1	150	13.000	NC_039553.1	10	0	58	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986838	0.985714	0	0.000
NC_039553.1_13_488_11:0:0_6:0:0_1108	-1	150	13.000	NC_039553.1	13	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	0	0.000
NC_039553.1_14_450_8:0:0_8:0:0_6ed	-1	150	13.000	NC_039553.1	14	0	59	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_16_531_5:0:0_8:0:0_45	-1	150	13.000	NC_039553.1	16	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.959445	0.957143	1	0.000
NC_039553.1_19_632_4:0:0_10:0:0_1640	-1	150	13.000	NC_039553.1	19	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.973331	0.971429	3	0.000
NC_039553.1_22_553_7:0:0_4:0:0_21ac	-1	150	13.000	NC_039553.1	22	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.974024	0.971429	0	0.000
NC_039553.1_24_573_5:0:0_6:0:0_204f	-1	150	13.000	NC_039553.1	24	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972211	0.971429	0	0.000
NC_039553.1_33_584_6:0:0_4:0:0_d03	-1	150	13.000	NC_039553.1	33	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986290	0.985714	2	1.000
NC_039553.1_40_576_3:0:0_6:0:0_1d40	-1	150	13.000	NC_039553.1	40	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_43_438_8:0:0_7:0:0_1c73	-1	150	13.000	NC_039553.1	43	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_44_614_6:0:0_6:0:0_1680	-1	150	13.000	NC_039553.1	44	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_50_536_5:0:0_7:0:0_d79	-1	150	13.000	NC_039553.1	50	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_50_558_4:0:0_11:0:0_1ece	-1	150	13.000	NC_039553.1	50	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_53_583_9:0:0_8:0:0_4ae	-1	150	13.000	NC_039553.1	53	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
