read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_039553.1_4_493_6:0:0_6:0:0_4a	-1	150	13.000	NC_039553.1	4	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986482	0.985714	1	0.000
NC_039553.1_4_563_9:0:0_7:0:0_17d	-1	150	13.000	NC_039553.1	4	0	47	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	0.000
NC_039553.1_8_509_6:0:0_3:0:0_3b1	-1	150	13.000	NC_039553.1	8	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.973684	0.971429	0	0.000
NC_039553.1_9_542_10:0:0_9:0:0_5de	-1	150	13.000	NC_039553.1	9	0	53	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	1	1.000
NC_039553.1_25_466_6:0:0_6:0:0_782	-1	150	13.000	NC_039553.1	25	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986111	0.985714	0	0.000
chimera_1_A9044-9282_B1958-2018_MH3_295338_295819_0:0:0_0:0:0_f7	-1	150	40.000	NC_039553.1	27	0	60	22S128M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	22	0	22	22	1.000000	1.000000	1	1.000
chimera_1_A9044-9282_B1958-2018_MH3_251246_251723_0:0:0_0:0:0_b	-1	150	40.000	NC_039553.1	38	0	60	69S81M	1	1	2	0	2195	2195	2195.000	0	1	60	60.000	0	0.000	69	0	69	69	0.943386	0.951393	0	0.000
NC_039553.1_47_518_7:0:0_2:0:0_2bb	-1	150	13.000	NC_039553.1	47	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.972963	0.971429	0	0.000
NC_039553.1_47_557_6:0:0_6:0:0_ef	-1	150	13.000	NC_039553.1	47	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_47_553_8:0:0_10:0:0_918	-1	150	13.000	NC_039553.1	47	0	36	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	0	0.000
NC_039553.1_56_530_7:0:0_15:0:0_23e	-1	150	13.000	NC_039553.1	56	0	60	150M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	1.000000	1.000000	2	1.000
