read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_037131.1_109_682_6:0:0_4:0:0_192	-1	150	13.000	NC_039553.1	111	0	4	136M14S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	14	14	136	1.000000	1.000000	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_56981_57418_0:0:0_0:0:0_b67	-1	150	40.000	NC_039553.1	198	0	12	10S93M1D43M4S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	10	4	14	10	1.000000	1.000000	0	0.000
NC_037131.1_185_709_6:0:0_4:0:0_659	-1	150	13.000	NC_039553.1	198	0	37	11S93M1D43M3S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	11	3	14	11	1.000000	1.000000	0	0.000
NC_037131.1_196_708_9:0:0_4:0:0_f89	-1	150	13.000	NC_039553.1	198	0	23	88M1D3M2D4M2I39M14S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	14	14	136	1.000000	1.000000	0	0.000
NC_037131.1_173_678_5:0:0_6:0:0_973	-1	150	13.000	NC_039553.1	198	0	10	23S93M1D34M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	23	0	23	23	0.916667	0.929425	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_219887_220384_0:0:0_0:0:0_632	-1	150	40.000	NC_039553.1	198	1	12	8S93M1D43M6S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	8	6	14	8	1.000000	1.000000	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_56561_57126_0:0:0_0:0:0_68e	-1	150	40.000	NC_039553.1	198	1	12	14S93M1D43M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	14	0	14	14	1.000000	1.000000	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_107325_107777_0:0:0_0:0:0_3d3	-1	150	40.000	NC_039553.1	198	1	12	5S93M1D43M9S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	5	9	14	141	0.916667	0.959031	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_219868_220388_0:0:0_0:0:0_431	-1	150	40.000	NC_039553.1	198	1	12	4S93M1D43M10S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	4	10	14	140	0.916376	0.958804	0	0.000
NC_037131.1_171_668_4:0:0_7:0:0_8b5	-1	150	13.000	NC_039553.1	204	0	10	31S87M1D32M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	31	0	31	31	0.964194	0.967295	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_8194_8670_0:0:0_0:0:0_810	-1	150	40.000	NC_039553.1	210	0	11	81M1D43M26S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	26	26	124	0.978918	0.982052	0	0.000
NC_037131.1_212_662_8:0:0_4:0:0_4a6	-1	150	13.000	NC_039553.1	214	0	4	77M1D43M30S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	30	30	120	0.981666	0.983518	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_107307_107798_0:0:0_0:0:0_488	-1	150	40.000	NC_039553.1	214	1	11	77M1D43M30S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	30	30	120	0.981818	0.983518	0	0.000
NC_037131.1_205_647_6:0:0_2:0:0_d14	-1	150	13.000	NC_039553.1	216	0	43	9S75M1D38M28S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	9	28	37	122	0.981199	0.983236	0	0.000
NC_037131.1_151_598_5:0:0_8:0:0_e5f	-1	150	13.000	NC_039553.1	216	0	10	63S65M22S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	63	22	85	63	0.985500	0.985595	0	0.000
NC_037131.1_180_769_3:0:0_8:0:0_fc1	-1	150	13.000	NC_039553.1	216	0	3	34S75M1D41M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	34	0	34	34	0.982531	0.983995	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_7867_8346_0:0:0_0:0:0_213	-1	150	40.000	NC_039553.1	216	1	12	3S75M1D43M29S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	3	29	32	121	0.978661	0.981736	0	0.000
chimera_1_A14757-15004_B15892-15943_MH4_7860_8345_0:0:0_0:0:0_12df	-1	150	40.000	NC_039553.1	216	1	12	4S75M1D43M28S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	4	28	32	122	0.978747	0.981843	0	0.000
NC_037131.1_254_786_11:0:0_10:0:0_11ed	-1	150	13.000	NC_039553.1	298	0	3	41S33M76S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	41	76	117	74	1.000000	1.000000	2	1.000
NC_037131.1_240_709_4:0:0_3:0:0_12ca	-1	150	13.000	NC_039553.1	305	0	27	62S72M16S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	62	16	78	62	1.000000	1.000000	0	0.000
